,exchange,tick,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,RSI
0,NASDAQ,AACG,1.9805810152203223,0.27843186265992803,0.7798587260811344,0.099072631,0.2031830363850617,59.34498459528088
1,NASDAQ,AACI,0.050418804975904584,0.005097943,0.028945739,0.044599786,0.41188888765511555,80.77188968483256
2,NASDAQ,AACIU,0.041302413197015914,0.003669378,-0.009672986,0.041798301,-0.191231116,0.4672915105247739
3,NASDAQ,AADI,0.068263623,0.056736097,0.5378156483757643,0.081514305,0.6876452120212654,74.17427453130688
4,NASDAQ,AAL,-0.040518687,0.0388614,1.3840727641877342,0.14290361867687973,2.5836335949525715,51.82761201812175
5,NASDAQ,AAME,0.253093763,0.057609255,0.3238709517819401,0.065994296,0.40782156339650444,50.25523553681011
6,NASDAQ,AAOI,0.21139145152032687,0.05560935,1.2487601577697125,0.133087751,1.6290021629824545,57.36907062431994
7,NASDAQ,AAON,0.22865378766785144,0.02360912,0.9021137398919303,0.10794127323857786,2.7718641659398493,39.27712068024866
8,NASDAQ,AAPL,0.3159314216280363,0.020787551,1.232199345688192,0.13188639386563136,4.2999964710678995,47.78170353158426
9,NASDAQ,ABAT,1.1029317712401276,0.095863582,1.0993486116283402,0.12224911554571807,0.8319021012800553,42.04585817400192
10,NASDAQ,ABCB,0.10104093103274905,0.027999333125485543,1.2552655578142633,0.13355966656237808,3.252208406331427,63.57905537507943
11,NASDAQ,ABCL,-0.647795619,0.044564340904713916,0.8089359227035373,0.10118195373732476,1.316791689184783,41.50866792271852
12,NASDAQ,ABCM,0.14116137794395348,0.026692886231523834,0.5642600455395614,0.083432639,1.533466197150334,67.51776772
13,NASDAQ,ABEO,-0.293873377,0.065728928,1.1334953481562058,0.1247261933425749,1.25098942,42.608563155074016
14,NASDAQ,ABIO,0.30179062341885077,0.11983000388634542,0.3858065299131923,0.070487236,0.23355783643693495,40.17604624623666
15,NASDAQ,ABL,-0.086587622,0.020437833,0.031813419,0.044807814,0.1129187217125934,36.96132620492055
16,NASDAQ,ABLV,-2.949020763,0.055136981,-0.12247825,0.033615164027506056,-0.161141141,41.40368115294739
17,NASDAQ,ABNB,0.066081705,0.033893867,1.076069549345316,0.1205604022402498,2.3030833945417815,37.88224342846791
18,NASDAQ,ABOS,-0.464520337,0.071248727,0.9934191996391584,0.11456476789924905,1.0114534049327601,22.03085948843794
19,NASDAQ,ABSI,-0.746697071,0.061383093,1.544851566975343,0.1545668592405982,1.8256958572943291,64.53936605409874
20,NASDAQ,ABUS,0.30469511314531206,0.06697756,1.0241497185556454,0.11679402591433927,1.109237567992013,53.58574224119363
21,NASDAQ,ABVC,2.1815787270671474,0.3877245920328646,-0.441854243,0.010446941743377944,-0.082669655,70.10517963205206
22,NASDAQ,ABVX,4.826050769118742,0.034755997,0.10838587513844229,0.050362545,0.2262212382292979,
23,NASDAQ,ACAB,0.042194343,0.002529577,-0.009528838,0.041808758,-0.273263996,82.71090586776006
24,NASDAQ,ACABU,0.067799531,0.017716297454346025,0.039899049,0.045394362935993984,0.16337290246184924,0
25,NASDAQ,ACAC,0.072016176,0.004994799,-0.001859439,0.042365112270509986,-0.027005638,72.47816248388806
26,NASDAQ,ACACU,0.092297689,0.014168279628625534,-0.013160772,0.041545289,-0.067383674,85.84772047330434
27,NASDAQ,ACAD,0.24336668336046366,0.042762501,0.9138594876307908,0.10879333507200281,1.5502679642860095,49.25238868848618
28,NASDAQ,ACAH,0.030756200691018355,0.005297375,-0.008125455,0.041910561995289704,-0.111269823,73.7159242
29,NASDAQ,ACAHU,0.023585700325344267,0.005220623,-0.004614897,0.042165225,-0.064125402,78.91732728517772
30,NASDAQ,ACAX,0.20144288555112203,0.03702937,-0.009641031,0.041800618873979394,-0.0188872,85.97265283767862
31,NASDAQ,ACAXU,0.2911357587315015,0.049428091,0.000317676,0.042523044907959114,0.000466231,82.74843845964764
32,NASDAQ,ACB,-0.529833826,0.067036998,1.5062646200250698,0.15176767901847027,1.6299608129526475,37.455959286257446
33,NASDAQ,ACBA,0.073278549,0.003155498,0.006069671,0.042940307,0.1395364776900533,85.75425290532247
34,NASDAQ,ACCD,15.802360697254262,1.8283394206417531,2.953070372,0.2567220836878271,0.11716756816009276,55.982808311735155
35,NASDAQ,ACDC,-0.234415407,0.039582463,0.9239610260090636,0.10952612241788864,1.6933287489534206,58.16374529942133
36,NASDAQ,ACER,0.009626171,0.071311669,1.2768698740492574,0.13512689018324464,1.2989022883098138,67.8026844
37,NASDAQ,ACET,-0.17251719,0.060578564139318655,1.082196382988945,0.12100485594584134,1.2959180703804034,50.080077443160704
38,NASDAQ,ACGL,0.2817673200791097,0.02091739,1.0088727447112684,0.11568580133533193,3.4988017219725034,54.46346227246716
39,NASDAQ,ACGLN,-0.070581955,0.011195224365266303,0.26971190672689177,0.062065482,1.7476632762166657,65.40623818645167
40,NASDAQ,ACGLO,0.060281557,0.011703312219450375,0.3707662025239937,0.069396179,2.2981680919058847,68.05308260831595
41,NASDAQ,ACHC,0.23467956796379297,0.030601948177837665,1.2002120421381723,0.12956596598695508,2.845111869381224,44.15340122354128
42,NASDAQ,ACHL,-0.912218263,0.042699669,0.6054209226980214,0.086418537,1.028545153316191,57.46619336041727
43,NASDAQ,ACHV,-0.095394988,0.055680635,0.8192672812091066,0.1019314127301228,1.067362339216256,55.13190640038746
44,NASDAQ,ACIC,0.2661646526952748,0.057771651749511724,0.8191969521158291,0.10192631090625483,1.0286413683291837,69.08843684900225
