,exchange,tick,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,Average Volume,EPS,RSI,label
0,AACG,NASDAQ,1.9805810152203225,0.278431863,0.7798587260811344,0.099072631,0.2031830363850617,4465,-0.2,59.34498459528088,0
1,AACI,NASDAQ,0.050418805,0.005097943,0.028945739,0.044599786,0.4118888876551155,6247,-0.45,80.77188968483256,0
2,AACIU,NASDAQ,0.041302413,0.003669378,-0.009672986,0.041798301,-0.191231116,6,-0.2,0.4672915105247739,0
3,AADI,NASDAQ,0.068263623,0.056736097,0.5378156483757643,0.081514305,0.6876452120212654,107847,-2.38,74.17427453130688,0
4,AAME,NASDAQ,0.253093763,0.057609255,0.3238709517819401,0.065994296,0.4078215633965044,4174,0.01,50.25523553681011,0
5,AAON,NASDAQ,0.2286537876678514,0.02360912,0.9021137398919304,0.1079412732385778,2.7718641659398493,394646,1.84,39.27712068024866,0
6,ABAT,NASDAQ,1.1029317712401276,0.095863582,1.0993486116283402,0.122249116,0.8319021012800553,264724,-7.18,42.04585817400192,0
7,ABCB,NASDAQ,0.101040931,0.027999333,1.2552655578142633,0.133559667,3.252208406331427,348388,4.05,63.57905537507943,0
8,ABEO,NASDAQ,-0.293873377,0.065728928,1.1334953481562058,0.1247261933425749,1.25098942,113860,-1.83,42.608563155074016,0
9,ABIO,NASDAQ,0.3017906234188507,0.1198300038863454,0.3858065299131923,0.070487236,0.2335578364369349,23314,-0.37,40.17604624623666,0
10,ABL,NASDAQ,-0.086587622,0.020437833,0.031813419,0.044807814,0.1129187217125934,15377,-0.02,36.96132620492055,0
11,ABLV,NASDAQ,-2.949020763,0.055136981,-0.12247825,0.033615164,-0.161141141,20550,0.18,41.40368115294739,0
12,ABOS,NASDAQ,-0.464520337,0.071248727,0.9934191996391584,0.114564768,1.011453405,449428,-1.15,22.03085948843794,0
13,ABSI,NASDAQ,-0.746697071,0.061383093,1.544851566975343,0.1545668592405982,1.8256958572943287,321779,-1.26,64.53936605409874,0
14,ABUS,NASDAQ,0.304695113,0.06697756,1.0241497185556454,0.1167940259143392,1.109237567992013,610247,-0.45,53.58574224119363,0
15,ACAB,NASDAQ,0.042194343,0.002529577,-0.009528838,0.041808758,-0.273263996,13039,0.17,82.71090586776006,0
16,ACAC,NASDAQ,0.072016176,0.004994799,-0.001859439,0.042365112,-0.027005638,11212,0.18,72.47816248388806,0
17,ACAH,NASDAQ,0.030756201,0.005297375,-0.008125455,0.041910562,-0.111269823,4576,0.26,73.7159242,0
18,ACAHU,NASDAQ,0.0235857,0.005220623,-0.004614897,0.042165225,-0.064125402,290,0,78.91732728517772,0
19,ACAX,NASDAQ,0.201442886,0.03702937,-0.009641031,0.041800619,-0.0188872,21385,0.1,85.97265283767862,0
20,ACBA,NASDAQ,0.073278549,0.003155498,0.006069671,0.042940307,0.1395364776900533,13055,0.02,85.75425290532247,0
21,ACCD,NASDAQ,15.802360697254262,1.8283394206417527,2.953070372,0.2567220836878271,0.1171675681600927,554171,-1.92,55.98280831173516,0
22,ACDC,NASDAQ,-0.234415407,0.039582463,0.9239610260090636,0.1095261224178886,1.6933287489534206,624155,3.47,58.16374529942133,0
23,ACET,NASDAQ,-0.17251719,0.060578564,1.082196382988945,0.1210048559458413,1.2959180703804034,437023,-2.54,50.080077443160704,0
24,ACGLN,NASDAQ,-0.070581955,0.011195224,0.2697119067268917,0.062065482,1.7476632762166655,38174,4.69,65.40623818645167,0
25,ACGLO,NASDAQ,0.060281557,0.011703312,0.3707662025239937,0.069396179,2.2981680919058847,30585,4.69,68.05308260831595,0
26,ACHC,NASDAQ,0.2346795679637929,0.030601948,1.2002120421381723,0.129565966,2.845111869381224,495492,-0.2,44.15340122354128,0
27,ACHL,NASDAQ,-0.912218263,0.042699669,0.6054209226980214,0.086418537,1.028545153316191,55598,-1.65,57.46619336041727,0
28,ACHV,NASDAQ,-0.095394988,0.055680635,0.8192672812091066,0.1019314127301228,1.067362339216256,41846,-3.03,55.13190640038746,0
29,ACIC,NASDAQ,0.2661646526952748,0.057771652,0.8191969521158291,0.1019263109062548,1.0286413683291835,449317,-9.27,69.08843684900225,0
30,ACIU,NASDAQ,0.1419287615510792,0.052106018,0.9392600573578066,0.1106359470957597,1.3076406496203177,49820,-0.92,60.301405312144034,0
31,ACIW,NASDAQ,0.062353114,0.025201766,1.136246728014713,0.1249257843621344,3.2706352499729694,448984,0.8,62.31676645252639,0
32,ACLS,NASDAQ,0.566206743,0.036000481,1.6791903840763738,0.1643120863086495,3.3836238095102456,550949,6.99,29.572744604854776,0
33,ACLX,NASDAQ,0.8021230748408762,0.048696045,0.6710191654782494,0.091177175,0.999612499,535638,-4.52,67.98332977609363,0
34,ACNB,NASDAQ,0.1260277745630432,0.029864481,1.1416748747393386,0.1253195538141193,2.773179087023953,11533,4.43,62.14676235879536,0
35,ACNT,NASDAQ,-0.006289565,0.037085289,0.7899876327944984,0.099807404,1.5452867034296007,6250,-0.44,50.83822400482795,0
36,ACON,NASDAQ,-0.218378309,0.1036228415773407,0.4906990587877979,0.078096366,0.3435185314228673,103538,-0.48,53.69867042936447,0
37,ACOR,NASDAQ,-0.356618469,0.085366456,1.0816596263095513,0.1209659184605049,0.919165704,8114,9.22,46.55450116093572,0
38,ACRV,NASDAQ,-0.755228036,0.05489974,0.4032796436765122,0.071754774,0.5328763632938757,15923,-2.06,56.871876152541375,0
39,ACRX,NASDAQ,-0.570995092,0.061132631,1.1661588282278608,0.1270956725221605,1.3838055227008654,316811,-3.44,39.20618823273774,0
40,ACST,NASDAQ,0.034000967,0.06949537,0.9430615695998942,0.1109117169797037,0.984406833,51088,-5.65,52.64043584400967,0
41,ACT,NASDAQ,0.2498589912797366,0.018171053,0.5789300721013284,0.084496834,2.311194328171957,206806,3.98,51.41781596612404,0
42,ACTG,NASDAQ,0.1264026809544738,0.028766508,0.6761197016418496,0.091547179,1.7050098248154464,228382,-0.33,67.96727116498295,0
43,ACVA,NASDAQ,-0.125558566,0.038779277,1.1493152650147365,0.1258738041769634,2.149957655040593,959134,-0.51,51.35405432221122,0
44,ACXP,NASDAQ,0.093541218,0.058934689,0.3087751943562489,0.064899217,0.3800684799618481,742565,-1.29,41.813706110325946,0
45,ADAG,NASDAQ,-0.820986973,0.049797573,0.3203799196675254,0.065741049,0.4667104808140267,15822,-0.86,45.07372473281208,0
46,ADAP,NASDAQ,0.1015448222396034,0.085001907,1.2525176882539393,0.1333603301874076,1.0689210734286654,414646,-0.55,44.94537265774098,0
47,ADD,NASDAQ,-0.339014728,0.086093294,0.9720799169395108,0.1130167703817406,0.8190739018972525,233617,-15.02,41.48124661207397,0
48,ADEA,NASDAQ,0.3684762665753773,0.040540552,1.0889674782354803,0.1214960457754143,1.9485685637087715,531300,0.93,46.80031567,0
49,ADES,NASDAQ,-0.086234895,0.042563278,1.0662060202847543,0.1198448806027829,1.817173959928592,62912,-0.83,57.25845598378005,0
50,ADIL,NASDAQ,0.2087265116184657,0.089175557,0.6906636507386555,0.092602228,0.5618381310850152,69336,143.27,56.80663901036076,0
51,ADN,NASDAQ,-0.109523082,0.085433744,0.2152069204807759,0.058111573,0.1827331054640387,423619,-1.78,68.50474923,0
52,ADOC,NASDAQ,0.051832602,0.003158167,0.023327833,0.044192251,0.5358333498784578,2715,-0.71,76.42706654318556,0
53,ADSE,NASDAQ,0.034336009,0.039518466,0.2631972571547583,0.061592896,0.4831385832180608,27187,-0.92,59.96918539096804,0
54,ADTH,NASDAQ,-0.564994153,0.04667787,0.3857449962248165,0.070482773,0.5994869173601309,81628,0.19,59.413292128553245,0
55,ADTN,NASDAQ,0.016961401,0.032102163,1.0350297727613291,0.1175832884747454,2.3388856773916635,805982,-0.67,46.17270295,0
56,ADTX,NASDAQ,-0.255675589,0.1858515466759152,0.4615160129305347,0.075979365,0.1801403645660064,233792,-148.99,26.4620037,0
57,ADUS,NASDAQ,0.1476857495166461,0.02830672,0.821538603,0.1020961792905206,2.105372118117018,78500,3.48,47.82261949733181,0
58,ADV,NASDAQ,-0.260530964,0.031616668,0.538042339,0.08153075,1.2344991605785982,415390,-3.94,41.54949129293546,0
59,ADVM,NASDAQ,0.1663149850972854,0.054331831,1.145372229713009,0.1255877679055275,1.529264996940075,244271,-1.24,37.02234946269391,0
60,ADXN,NASDAQ,-0.176961127,0.085497586,0.3814118899483841,0.07016844,0.3236166181438214,4785,-23.7,40.44249673167941,0
61,AEAE,NASDAQ,0.028751625,0.003840667,-0.014460181,0.041451027,-0.27312251,8088,0.28,70.37405441637748,0
62,AEHL,NASDAQ,-0.114778765,0.071123149,0.8703048329362261,0.1056337866329995,0.8876686013187368,25702,2.52,30.497661460619568,0
63,AEI,NASDAQ,-0.773604692,0.080184196,0.8748253794252584,0.1059617168095335,0.791449192,10749,-4.5,60.712751279200425,0
64,AEIS,NASDAQ,0.2531942115881445,0.030057725,1.522649312340381,0.1529562598806404,3.674804361596713,268104,3.55,43.57148939344482,0
65,AEMD,NASDAQ,0.3092867563858178,0.1368123641535927,0.4424627811897845,0.074597203,0.2346074721652292,17448,-5.49,60.83722000885238,0
66,AENT,NASDAQ,-0.509083383,0.045090217,0.028906221,0.04459692,0.046504977,12723,-0.75,73.98700380816294,0
67,AEY,NASDAQ,-0.009545439,0.048994486,0.9505464941632452,0.1114546895250271,1.4073969338259351,54357,-0.07,49.379814996581885,0
68,AEYE,NASDAQ,0.3021698903108278,0.057396331,0.9469022783080356,0.11119033,1.1967721489483094,43047,-0.63,55.630327136655445,0
69,AEZS,NASDAQ,-0.1390449,0.081923902,0.9969366785453924,0.1148199333933932,0.8827696439224655,8519,-4.8,39.368819943023794,0
70,AFAR,NASDAQ,0.062365278,0.0021617,0.000816176,0.042559207,0.027389163,828,0.24,90.16725124340932,0
71,AFBI,NASDAQ,0.1046866220147863,0.020884999,0.1862571668061201,0.056011496,0.6469474195923739,5552,1.01,44.80907630086702,0
72,AFCG,NASDAQ,-0.21351935,0.021745339,0.5181600523340555,0.080088446,1.7285748449274947,122168,1.8,57.214791869689954,0
73,AFIB,NASDAQ,-0.580511042,0.071264951,0.7871723095389563,0.099603174,0.8012799242227824,80977,-1.35,65.28608269676829,0
74,AFMD,NASDAQ,-0.222053037,0.046113343,1.2617889829388595,0.1340328898679905,1.984954544040109,516880,-0.76,64.90643154706123,0
75,AFRI,NASDAQ,0.091868945,0.022846933,0.1160004938987216,0.050914926,0.3683175228248945,10138,-0.71,44.73620169306292,0
76,AFYA,NASDAQ,0.073096235,0.034182529,1.0869152125759851,0.1213471700052733,2.3066511665764784,179188,0.77,63.84414520576957,0
77,AGAE,NASDAQ,-0.100971675,0.057514312,0.7290330593316495,0.095385628,0.919521184,39146,-0.17,44.43703685508892,0
78,AGBA,NASDAQ,-0.357739666,0.053391133,-0.003776307,0.042226059,-0.005130841,588463,-0.82,55.542334782763504,0
79,AGIO,NASDAQ,-0.09351437,0.034335232,1.084117836876517,0.1211442423483663,2.2904823511719705,508504,-4.08,55.85106812,0
80,AGLE,NASDAQ,0.3020715397378098,0.1127589568841274,1.1792192,0.1280430999831642,0.7586368510935179,34412,-68.81,57.208894661591344,0
81,AGMH,NASDAQ,-0.267211901,0.051404841,0.4192755504423951,0.072915151,0.5916787291052341,2217,0.87,62.612730366566936,0
82,AGNCM,NASDAQ,0.065889583,0.020596574,0.5461235156474935,0.082116976,1.9234740149062568,20084,-1.86,55.69089507496609,0
83,AGNCN,NASDAQ,0.07833215,0.018871525,0.4095477005352211,0.072209472,1.5743015803579492,30169,-1.86,58.746529102849976,0
84,AGNCO,NASDAQ,0.075883405,0.024624048,0.61515957,0.087125,1.812252832770945,32500,-1.86,56.426792173863184,0
85,AGNCP,NASDAQ,0.051091087,0.025904453,0.7053873044166666,0.093670314,1.975348161,50542,-1.86,65.88834088678048,0
86,AGRI,NASDAQ,-1.131264204,0.095178141,0.1856124265488664,0.055964725,0.1414686701621042,286672,-20.42,52.20830585700838,0
87,AGRX,NASDAQ,-0.582949854,0.092469614,0.9278232206948588,0.1098062943369683,0.7278747180258133,39303,142.89,63.038428107284005,0
88,AGYS,NASDAQ,0.4770483279340207,0.032409678,1.013097285,0.1159922585586854,2.267602215869761,112815,0.46,73.03255825426388,0
89,AHG,NASDAQ,0.6851070058604669,0.1265829086012438,0.8501102337208736,0.104168827,0.4871813075064312,187134,-0.6,31.97162686441252,0
90,AHI,NASDAQ,2.079571357677436,0.2915042957534784,0.5245409089007267,0.080551327,0.1305343612242644,759198,-0.33,28.93537568247657,0
91,AIB,NASDAQ,0.087570496,0.006002016,0.009457481,0.043186066,0.114305932,4547,1.51,88.91731989153591,0
92,AIBBU,NASDAQ,0.064408406,0.008180873,0.029718487,0.044655843,0.2635223585151571,79,-0.02,0,0
93,AIH,NASDAQ,-0.29998265,0.055301512,0.535762058,0.081365333,0.7027897056488754,12960,-0.39,74.67438061120122,0
94,AIHS,NASDAQ,-0.214888791,0.08637303,0.6354073837493301,0.08859382,0.5336598664839066,14233,-0.53,47.71070105057412,0
95,AIMAU,NASDAQ,0.064081357,0.006641538,0.029801069,0.044661834,0.3255019807753092,84,0,1.0177446549095777,0
96,AIMBU,NASDAQ,0.076604392,0.003737359,-0.00587421,0.042073872,-0.114018438,7360,0,64.32498340420226,0
97,AIMD,NASDAQ,3.215725327407194,0.189664632,0.3860149316860083,0.070502354,0.1476414132261241,15730,-0.8,67.69971021,0
98,AIP,NASDAQ,-0.196954552,0.051201201,1.2960790555743886,0.1365203655747469,1.8362922012480665,124995,-1,73.79485619218276,0
99,AIRG,NASDAQ,-0.122229295,0.037430425,0.9761927217537848,0.113315122,1.8919133813098965,20906,-0.91,52.52172140539345,0
100,AIRS,NASDAQ,-0.138265965,0.052484837,1.563644294,0.1559301241083656,2.1611979789548204,80560,-0.23,45.03206942,0
101,AIRT,NASDAQ,0.5578236461012555,0.094322451,0.6954094312466635,0.092946498,0.534830224,4196,-4.2,58.69000075548958,0
102,AIRTP,NASDAQ,0.018386607,0.019122386,0.2024208698446422,0.057184046,0.7678981831471078,817,0.34,59.57713946782323,0
103,AIXI,NASDAQ,-1.123235676,0.073782073,0.5829158051729049,0.084785968,0.5731198096190084,314141,-0.41,58.32913626245353,0
104,AKAN,NASDAQ,-2.00880177,0.094978787,1.038422911,0.1178294340018018,0.7931185076301411,375579,-2.73,49.04956056093037,0
105,AKLI,NASDAQ,-0.909021849,0.060256175,0.3577802952534289,0.068454153,0.4307301812765443,44673,0.02,37.48558840751998,0
106,AKTS,NASDAQ,-0.129964117,0.045082335,1.4598128928622591,0.1483979707042731,2.3489903641062626,947850,-0.95,44.31053765467136,0
107,AKTX,NASDAQ,0.071409494,0.081556607,0.5722297737541746,0.08401078,0.5089812035381845,21490,-2.52,47.12791599188038,0
108,AKYA,NASDAQ,-0.50190524,0.045965648,0.99470742,0.1146582182063548,1.5698292414476642,161019,-1.95,60.80589353630193,0
109,ALAR,NASDAQ,-0.702040531,0.065170209,0.3886049216307244,0.070690238,0.432563255,49306,-4.37,42.78886908648932,0
110,ALBT,NASDAQ,-0.07624479,0.075420861,0.9261513289647472,0.1096850117107346,0.8908014434321228,68301,-1.2,52.52422135705354,0
