Symbol,Description
77QM.L,ROYAL BANK OF SCOTLAND 3.625% NTS 17/05/13 EUR50000
79SG.L,NESTLE HLDGS INC 5% NTS 31/01/11 NOK10000
80ML.L,6.75% BDS 03/12/28 GBP50000
80QT.L,NORTHERN ROCK 5.625% STEP-UP SUB CALL NTS 13/1/15 GBP
80TW.L,ARTESIAN FINANCE II 6% NTS 30/9/33 GBP(VAR)
81DT.L,ROYAL BANK OF SCOTLAND 5.125%/FLTG RTE SUB NTS EUR(VAR)
82HM.L,URUGUAY 7.625% BDS 21/03/36 USD1
83HC.L,TESCO 5.125% NTS 10/04/47 EUR50000
83NL.L,SEVERN TRENT WATER UTILITIES FIN 6.125% GTD BDS 26/2/2024 GBP(VAR)
83UP.L,HALYK SAVINGS BANK OF KAZAKHSTN JSC 9.25% NTS 16/10/13 USD100000 `REGS`
84LM.L,ROYAL BANK OF SCOTLAND 7.5% NTS 29/04/24 GBP100000
84YJ.L,EDF ENERGY NETWORKS(LPN) 6.125%  NTS 7/6/27 GBP(VAR)
85QW.L,BROADGATE FINANCING CLS'A4'4.821% BDS 5/07/36 GBP5000
86IP.L,WITAN INVESTMENT TRUST 2.7% CUM PRF GBP1
87II.L,GE CAPITAL EUROPEAN FUNDING FLTG RATE NTS 03/04/14 EUR50000
87IP.L,WITAN INVESTMENT TRUST 3.4% CUM PRF GBP1
888.L,888 holdings ord gbp0.005
88E.L,88 Energy
88FH.L,BARCLAYS BANK PLC FRN 24/07/14 EUR1000 `SN17077`
88QT.L,HSBC HLDGS 6.50% NTS 20/05/24 GBP50000 `15`
88QX.L,HSBC BANK PLC PALMS711 21/05/12(AL BABTAIN)USD11.78
88VU.L,ONTARIO(PROVINCE OF) 4.1% BDS 16/06/14 USD5000
91QT.L,AUSTRALIA & NEW ZEALAND BANK GROUP 4.375% NTS 24/05/12 EUR1000
92CN.L,HSBC HLDGS 7% SUBORD NTS 07/04/38 GBP50000
92MU.L,STATOILHYDRO ASA 4.375% NTS 11/03/15 EUR50000
92PG.L,ANHEUSER-BUSCH INBEV SA 9.75% NTS 30/07/24 GBP75000
92VF.L,GE CAPITAL UK FUNDING 5.875% NTS 18/01/33 GBP1000
92YZ.L,HSBC BANK PLC FRN 04/02/11 EUR50000
95KZ.L,LUKOIL INTERNATIONAL FINANCE BV 2.625% CNV BDS 16/6/15(LUKOIL ADR)USD
96DU.L,LLOYDS TSB BANK 7.50% NTS 15/04/24 GBP100000
96QO.L,LLOYDS TSB BANK PLC 6.5% NTS 17/09/40 GBP1000
A2D2.L,A2D Funding II Plc
AA07.L,FTSE Advanced Emerging
AA18.L,Barclays Bank Plc
AA4.L,Amedeo Air Four Plus Lim
AADV.L,Albion Development Vct Plc
AAEV.L,Albion Enterprise Vct Plc
AAF.L,Airtel Africa Plc
AAIF.L,Aberdeen Asian Income Fund Ltd
AAL.L,Anglo American Plc
AAP2.L,Leverage Shares Public Limited Company
AAPE.L,Leverage Shares Public Limited Company
AAS.L,Aberdeen Standard Asia Focus Plc
AASC.L,Aberdeen Asian Smaller Companies Investm
AASG.L,Amundi ETF
AASU.L,Amundi Investment Solutions
AATG.L,Albion Technology & General Vct Plc
AAU.L,Ariana Resources Plc
AAZ.L,Anglo Asian Mining Plc
ABD.L,Aberdeen New Dawn Investment Trust Plc
ABDN.L,
ABDP.L,Ab Dynamics Plc
ABDX.L,
ABF.L,Associated British Foods Plc
AC24.L,FTSE Japan Lms Index
ACC.L,Access Intelligence Plc
ACDAPR.L,FTSE Developed Asia Paci
ACDER.L,FTSE Developed Europe AL
ACDXUSR.L,FTSE Developed Ex US All
ACG.L,ACCUMA GROUP ORD GBP0.10
ACIC.L,
ACKWTC.L,FTSE Kuwait All Cap 15% Capped Index
ACKWTCN.L,FTSE Kuwait All Cap 15% Capped Net Tax I
ACNAN.L,FTSE North America All C
ACNANCH.L,FTSE North America All C
ACNANEU.L,FTSE North America All C
ACNANUK.L,FTSE North America All C
ACP.L,Armadale Capital Plc
ACRL.L,Accrol Group Holdings Plc
ACRM.L,Acuity RM Group PLC
ACSO.L,Accesso Technology Group
ACT.L,Actual Experience Plc
ACWD.L,SSGA SPDR ETFS Europe I Plc
ACWI.L,SSGA SPDR ETFS Europe I Plc
ACWL.L,Multi Units France
ACWU.L,Multi Units France
ACXUSS.L,FTSE Gloabl All Cap Ex U
AD01.L,FTSE Developed
AD02.L,FTSE Developed Ex US
AD03.L,FTSE Developed Ex North
AD04.L,FTSE Developed Ex UK
AD05.L,FTSE Developed Ex Japan
AD06.L,FTSE Developed Europe
AD07.L,FTSE Developed Europe Ex
AD09.L,FTSE Dev Lms Ex US Index
AD13.L,FTSE Dev Europe Lms Inde
AD17.L,FTSE Dev Lms Ex Na Index
AD20.L,FTSE Dev Europe Lms Ex U
ADA.L,Adams Plc
ADF.L,Advance Focus
ADIG.L,Aberdeen Diversified Income and Growth T
ADM.L,Admiral Group Plc
ADME.L,Adm Energy Plc
ADMR.L,Adaro Minerals Indonesia Tbk PT
ADT1.L,Adriatic Metals Plc
AE01.L,FTSE Emerging
AE57.L,Aviva Plc
AEET.L,
AEG.L,Active Energy Group Plc
AEI.L,ACM European Enhanced Income Fund Plc
AEJ.L,Lyxor International Asse
AEJL.L,Lyxor International Asse
AEMD.L,Amundi Index Solutions
AEO.L,Aeorema Communications Plc
AEP.L,Anglo-Eastern Plantations Plc
AERI.L,Aquila European Renewables Income Fund P
AERS.L,Aquila European Renewables Income Fund P
AET.L,RESURGE ord gbp0.02
AEWU.L,Aew UK REIT Plc
AEX.L,Aminex Plc
AFC.L,Afc Energy Plc
AFM.L,Alpha Financial Markets Consulting Plc
AFN.L,Advfn Plc
AFP.L,
AG01.L,FTSE All-Emerging
AG02.L,FTSE All-Emerging Latin
AG03.L,FTSE All-Emerging Asia P
AG14.L,FTSE All-Emer Lms Index
AG15.L,FTSE All-Emer Latin Amer
AG16.L,FTSE All-Emer Asia Pacif
AG99.L,Glaxosmithkline Capital
AGAP.L,ETFS Commodity Securities Limited
AGBP.L,Ishares III Plc
AGCP.L,ETFS Commodity Securities Limited
AGED.L,Ishares IV Plc
AGES.L,Ishares IV Plc
AGFX.L,Argentex Group Plc
AGGG.L,Ishares III Plc
AGGP.L,ETFS Commodity Securities Limited
AGGU.L,Ishares III Plc
AGL.L,Angle Plc
AGR.L,Assura Group Ld
AGT.L,Avi Global Trust Plc
AGY.L,Allergy Therapeutics Plc
AHT.L,Ashtead Group Plc
AIAG.L,Legal & General Ucits ETF Public Limited
AIAI.L,Legal & General Ucits ETF Public Limited
AIBG.L,Aib Group Plc
AIE.L,Ashoka India Equity Investment Trust Plc
AIEA.L,Airea Plc
AIGA.L,Wisdomtree Commodity Securities Ltd.
AIGC.L,ETFS Commodity Securities Limited
AIGE.L,ETFS Commodity Securities Limited
AIGG.L,ETFS Commodity Securities Limited
AIGI.L,ETFS Commodity Securities Limited
AIGL.L,ETFS Commodity Securities Limited
AIGO.L,ETFS Commodity Securities Limited
AIGP.L,ETFS Commodity Securities Limited
AIGS.L,ETFS Commodity Securities Limited
AIM1.L,FTSE Aim 100 Index
AIM5.L,FTSE Aim UK 50 Index
AIQ.L,Aiq Limited
AIRE.L,AIRE
AJB.L,Aj Bell Plc
AJOT.L,Avi Japan Opportunity Trust Plc
ALAG.L,Amundi ETF
ALAU.L,Amundi Investment Solutions
ALBA.L,Alba Mineral Resources Plc
ALF.L,Alternative Liquidity Fu
ALFA.L,Alfa Financial Software Holdings Plc
ALGW.L,Alpha Growth Plc
ALK.L,Alkane Energy Plc
ALL.L,Allocate Software Plc
ALP2.L,Alpha Plus Holdings Plc
ALPH.L,Alpha Pyrenees Trust Ltd
ALT.L,Altitude Group Plc
ALTN.L,Altyn Plc
ALU.L,Alumasc Group Plc
ALUM.L,ETFS Commodity Securities Limited
AMAT.L,Amati Aim Vct Plc
AMGO.L,Amigo Holdings Plc
AML.L,Aston Martin Lagonda Global Holdings Plc
AMRQ.L,
AMS.L,Advanced Medical Solutions Group Plc
AMTE.L,
AMZ2.L,Leverage Shares Public Limited Company
AMZE.L,Leverage Shares Public Limited Company
ANCR.L,Animalcare Group Plc
ANG.L,Angling Direct Plc
ANGS.L,Angus Energy Plc
ANIC.L,Agronomics Limited
ANII.L,Aberdeen New India Investment Trust Plc
ANP.L,Anpario Plc
ANRJ.L,Amundi Investment Solutions
ANTO.L,Antofagasta Plc
ANX.L,Anexo Group Plc
ANXG.L,Amundi ETF
ANXU.L,Amundi Investment Solutions
AO.L,AO World
AOF.L,Africa Opportunity Fund Limited
AOM.L,
APAX.L,Apax Global Alpha Limite
APEO.L,
APH.L,Alliance Pharma Plc
API.L,Api Group Plc
APQ.L,Apq Global Limited
APTA.L,
APTD.L,Aptitude Software Group Plc
AQSG.L,Aquila Services Group Plc
AQX.L,Aquis Exchange Plc
ARA.L,ARDANA ORD GBP0.01
ARB.L,Argo Blockchain Plc
ARBB.L,Arbuthnot Banking Group Plc
ARC.L,Arcontech Group Plc
ARCM.L,Arc Minerals Limited
AREC.L,
ARGO.L,Argo Group Limited
ARIX.L,Arix Bioscience Plc
ARK.L,Arkle Resources Plc
ARR.L,Aurora Investment Trust Plc
ARS.L,Asiamet Resources Limite
ART.L,Artisan [Uk] Plc
ARTL.L,Alpha Real Trust Limited
ARV.L,Archimedia Ventures Plc
AS80.L,FTSE Hang Seng Asian Financials
ASAI.L,ASA International Group Plc
ASC.L,Asos Plc
ASCI.L,Aberdeen Smaller Companies Income Trust
ASCL.L,Ascential Plc
ASDV.L,SSGA SPDR ETFS Europe I
ASEAN40.L,FTSE Asean 40 Index
ASEAN40N.L,FTSE Asean 40
ASEAN4WN.L,Ftse/Asean 40 Wm Net Tax Index
ASEANAS.L,FTSE Asean All-Share Ind
ASEANEM.L,FTSE Asean All-Share Ex
ASEANSTR.L,FTSE Asean Stars Index
ASHM.L,Ashmore Group Plc
ASHR.L,DB X-Trackers
ASIL.L,Lyxor International Asse
ASIT.L,Aberforth Split Level Income Trust Plc
ASIU.L,Lyxor International Asse
ASIZ.L,Aberforth Split Level Income Trust Plc
ASL.L,Aberforth Smaller Companies Trust Plc
ASLI.L,Aberdeen Standard European Logistics Inc
AST.L,Ascent Resources Plc
ASTO.L,Assetco Plc
ASX.L,FTSE All-Share
ASXX.L,FTSE All-Share [Exit]
ASY.L,Andrews Sykes Group Plc
AT.L,
AT1.L,Invesco Markets II Plc
AT1D.L,Invesco Markets II Plc
AT1P.L,Invesco Markets II Plc
AT1S.L,Invesco Markets II Plc
ATG.L,Adventis Group Plc
ATM.L,Afritin Mining Limited
ATN.L,Atlantic Telecom
ATOM.L,
ATR.L,Asian Total Return Inves
ATS.L,Artemis Alpha Trust Plc
ATST.L,Alliance Trust Plc
ATT.L,Allianz Technology Trust
ATY.L,Athelney Trust Plc
ATYM.L,Atalaya Mining Plc
AUAD.L,UBS [Irl] ETF Plc
AUCO.L,Etfx Fund Company Plc
AUCP.L,Etfx Fund Company Plc
AUEG.L,Amundi ETF
AUEM.L,Amundi Investment Solutions
AUGM.L,Augmentum Fintech Plc
AUK.L,Aukett Fitzroy Robinson Group Plc
AURA.L,Aura Energy Limited
AURR.L,Aurora Russia Limited
AUSC.L,
AUTG.L,Autins Group Plc
AUTO.L,Auto Trader Group Plc
AV.L,Aviva
AV.A.L,Aviva Plc
AV.B.L,Aviva Plc
AVAP.L,Avation Plc
AVAW.L,Avanti Cap.Wts
AVCT.L,Avacta Group Plc
AVG.L,Avingtrans Plc
AVON.L,Avon Rubber Plc
AW01.L,FTSE All World
AW02.L,FTSE All World Ex US
AW03.L,FTSE All World Ex UK
AW04.L,FTSE All World Ex Japan
AW05.L,FTSE All World Ex South
AW06.L,FTSE FTSE All World Asia
AW07.L,FTSE All World Asia Paci
AW08.L,FTSE All World Asia Pac
AW09.L,FTSE All World Asia Pac
AW10.L,FTSE All World Greater C
AW11.L,FTSE All World Europe
AW12.L,FTSE All World Europe Ex
AW13.L,FTSE All World Europe Ex
AW14.L,FTSE All World Eurobloc
AWALEMVN.L,FTSE Emerging Minimum VA
AWALLEN.L,FTSE Emerging Net of Tax
AWALLER.L,FTSE Emerging Net Tax [U
AWAMERS.L,FTSE Americas Index
AWDEUMVN.L,FTSE Developed Europe MI
AWDEURSC.L,FTSE Developed Europe IN
AWDEURSE.L,FTSE Developed Europe IN
AWDEURSG.L,FTSE Developed Europe IN
AWDEURU.L,FTSE Developed Europe Un
AWDPAC.L,FTSE Developed Asia Paci
AWDPACXJ.L,FTSE All-World Devlop Asia Pacific Exclu
AWDPCXJE.L,FTSE Developed Asia Paci
AWDPCXJG.L,FTSE Developed Asia Paci
AWDPXJC.L,FTSE Developed Asia Paci
AWDXNAR.L,FTSE Developed Ex North
AWDXNAU.L,FTSE Developed Ex North
AWE.L,
AWEBCMVN.L,FTSE Eurobloc Minimum VA
AWEBLOCE.L,FTSE Eurozone Index [Eur]
AWEM.L,Ashoka Whiteoak Emerging Markets Trust Plc
AWHDY01.L,FTSE All-World High Divi
AWHDY01C.L,FTSE All-World High Divi
AWHDY01E.L,FTSE All-World High Divi
AWHDY01G.L,FTSE All-World High Divi
AWLDMVN.L,FTSE All-World Minimum Variance Net Tax Index
AWNAMERS.L,FTSE All-World North America Index
AWNT01HK.L,FTSE Japan Net Tax Hkd I
AWNT01JA.L,FTSE Japan Index - Net Tax
AWNT04.L,FTSE Developed Net Tax I
AWNT04CH.L,FTSE Developed Net Tax C
AWNT04EU.L,FTSE Developed Net Tax E
AWNT04UK.L,FTSE Developed Net Tax G
AWNT05.L,FTSE Developed Europe Ex
AWNT05CH.L,FTSE Developed Europe Ex
AWNT05EU.L,FTSE Developed Europe Ex
AWNT05UK.L,FTSE Developed Europe Ex
AWNT06HK.L,FTSE Developed Europe NE
AWNT13.L,FTSE Developed Ex North
AWNT14.L,FTSE North America Net T
AWNT14CH.L,FTSE North America Net T
AWNT14EU.L,FTSE North America Net T
AWNT14UK.L,FTSE North America Net T
AWPXJANN.L,FTSE Asia Pacific Ex Jap
AWSG.L,UBS [Irl] ETF Plc
AWSR.L,UBS [Irl] ETF Plc
AXB.L,Axis Bank Limited
AXL.L,
AXS.L,Accsys Technologies Plc
AXX.L,FTSE Aim All-Share Index
AYM.L,Anglesey Mining Plc
AZN.L,Astrazeneca Plc
B050.L,Barclays Bank Plc
BA.L,Bae Systems Plc
BA29.L,Morgan Advanced Material
BA47.L,City of London Investmen
BA69.L,City of London Investmen
BAB.L,Babcock International Group Plc
BAF.L,British & American Investment Trust Plc
BAG.L,Barr [A.G.] Plc
BAKK.L,Bakkavor Group Plc
BANK.L,
BAR.L,Brand Architekts Group Plc
BARC.L,Barclays Plc
BAS.L,Bea Systems Inc
BASC.L,
BATG.L,Go Ucits ETF Solutions Plc
BATS.L,British American Tobacco Plc
BATT.L,Go Ucits ETF Solutions Plc
BAY.L,British Airways
BBB.L,Bigblu Broadband Plc
BBCS.L,Bluecrest Bluetrend Limi
BBDD.L,Jpmorgan ETFS (Ireland) Icav
BBGE.L,Jpmorgan ETFS (Ireland) Icav
BBGI.L,Bilfinger Berger Global Infrastructure S
BBH.L,Bb Healthcare Trust Plc
BBIL.L,Jpmorgan ETFS (Ireland) Icav
BBLL.L,Jpmorgan ETFS (Ireland) Icav
BBOX.L,Tritax Big Box REIT Plc
BBRT.L,Jpmorgan ETFS (Ireland) Icav
BBSC.L,BFS ABSOLUTE RETURN TRUST CAPITAL 0.01P
BBSN.L,Brave Bison Group Plc
BBSU.L,Jpmorgan ETFS (Ireland) Icav
BBTP.L,Jpmorgan ETFS (Ireland) Icav
BBTR.L,Jpmorgan ETFS (Ireland) Icav
BBUD.L,Jpmorgan ETFS (Ireland) Icav
BBUS.L,Jpmorgan ETFS (Ireland) Icav
BBY.L,Balfour Beatty Plc
BC94.L,Samsung Electronics Co L
BCCU.L,UBS ETFS Plc
BCG.L,
BCHN.L,Invesco Markets II Plc
BCHS.L,Invesco Markets II Plc
BCOG.L,Go Ucits ETF Solutions Plc
BCOM.L,Go Ucits ETF Solutions Plc
BCPT.L,BMO Commercial Property Trust Ltd.
BDEV.L,Barratt Developments Plc
BEG.L,Begbies Traynor Group Plc
BELL.L,
BEM.L,Beowulf Mining Plc
BEMO.L,
BEN.L,Biogen Inc
BENE.L,Boost Issuer Public Limited Company
BERI.L,Blackrock Energy and Resources Income TR
BEZ.L,Beazley Plc
BGCG.L,
BGEO.L,Bank of Georgia Holdings Plc
BGEU.L,Baillie Gifford European Growth Trust
BGFD.L,Baillie Gifford Japan Trust Plc
BGHL.L,Boussard & Gavaudan Holding Limited
BGHS.L,Boussard & Gavaudan Holding Limited
BGLF.L,Blackstone / Gso Loan FI
BGLP.L,Blackstone / Gso Loan Financing Limited
BGO.L,Bango Plc
BGS.L,Baillie Gifford Shin Nippon Plc
BGUK.L,Baillie Gifford UK Growth Fund Plc
BHL.L,Baydonhill Plc
BHMG.L,Bh Macro Limited
BHMU.L,Bh Macro Limited
BHP.L,Bhp Group Plc
BIDS.L,Bidstack Group Plc
BIG.L,
BIGT.L,Go Ucits ETF Solutions Plc
BILN.L,Billington Holdings Plc
BIOG.L,Biotech Growth Trust [The] Plc
BIOM.L,Biome Technologies Plc
BIOT.L,Go Ucits ETF Solutions Plc
BIPS.L,
BIRD.L,Blackbird Plc
BIRG.L,Bank of Ireland Group Plc
BISI.L,Bisichi Mining Plc
BKG.L,Berkeley Group Holdings [The] Plc
BKS.L,Beeks Financial Cloud Group Plc
BKY.L,Berkeley Resources Limited
BLND.L,British Land Company Plc
BLOE.L,Block Energy Plc
BLOK.L,First Trust Global Funds Public Limited
BLTG.L,Blancco Technology Group Plc
BLU.L,Blue Star Capital Plc
BLV.L,Belvoir Group Plc
BLVN.L,Bowleven Plc
BMD.L,Baronsmead Vct 3 Plc
BME.L,B&M European Value Retai
BMK.L,Benchmark Holdings Plc
BMN.L,Bushveld Minerals Limited
BMT.L,Braime [T.F. & J.H.] [Holdings] Plc
BMTO.L,Braime Group Plc
BMV.L,Bluebird Merchant Ventures Ltd
BMY.L,Bloomsbury Publishing Plc
BNC.L,Banco Santander S.A.
BNKE.L,Multi Units Luxembourg
BNKR.L,Bankers Investment Trust Plc
BNKS.L,Ishares V Public Limited Company
BNR.L,Blenheim Natural Resources Plc
BNZL.L,Bunzl Plc
BOCH.L,Bank of Cyprus Holdings Public Limited C
BOD.L,Botswana Diamonds Plc
BOIL.L,Baron Oil Plc
BOKU.L,Boku Inc
BOO.L,Boohoo.com Plc
BOOK.L,
BOOM.L,Audioboom Group Plc
BOOT.L,Boot [Henry] Plc
BOR.L,Borders & Southern Petroleum Plc
BOWL.L,Hollywood Bowl Group Plc
BOXE.L,Tritax Eurobox Plc
BOY.L,Bodycote Plc
BP.L,Bp - British Petroleum Plc
BP.A.L,BP Plc
BP.B.L,BP Plc
BPCR.L,Biopharma Credit Plc
BPM.L,B.P. Marsh & Partners Plc
BPT.L,
BR88.L,3I Group Plc
BRBY.L,Burberry Group Plc
BRCK.L,Brickability Group Plc
BREE.L,Breedon Aggregates Ld
BRES.L,Blencowe Resources Plc
BRFI.L,Blackrock Frontiers Investment Trust Plc
BRGE.L,Blackrock Greater Europe Investment Trus
BRH.L,Braveheart Investment Group Plc
BRIC.L,Ishares II Plc
BRICUL2X.L,FTSE BRIC 50 2X Daily Su
BRICUL3X.L,FTSE BRIC 50 3X Daily Le
BRICUS1X.L,FTSE BRIC 50 Daily Short
BRICUS2X.L,FTSE BRIC 50 2X Daily Sh
BRICUS3X.L,FTSE BRIC 50 3X Daily Sh
BRIG.L,Blackrock Income and Growth Investment T
BRK.L,Brooks Macdonald Group Plc
BRLA.L,Blackrock Latin American Investment Trus
BRND.L,Boost Issuer Public Limi
BRNT.L,ETFS Commodity Securities Limited
BRSA.L,
BRSC.L,Blackrock Smaller CO Trust Plc
BRSD.L,
BRTU.L,UBS Ag
BRWM.L,Blackrock World Mining Trust Plc
BRZ.L,Amundi Investment Solutions
BSC.L,British Smaller Companies Vct2 Plc
BSE.L,Base Resources Limited
BSFA.L,Bsf Enterprise Plc
BSIF.L,Bluefield Solar Income F
BSRT.L,Baker Steel Resources Trust Limited
BSUS.L,UBS ETF
BSV.L,British Smaller Companies Vct Plc
BT.A.L,Bt Group Plc
BTEC.L,Ishares IV Plc
BTEE.L,Ishares IV Plc
BTEK.L,Ishares IV Plc
BUG.L,Bouygues
BULL.L,ETFS Commodity Securities Limited
BULP.L,ETFS Commodity Securities Limited
BUR.L,Burford Capital Limited
BUR3.L,Burford Capital Plc
BUT.L,Brunner Investment Trust Plc
BUYB.L,Powershares Glbal Funds
BVA.L,Banco Bilbao Vizcaya Argentaria Sa
BVC.L,Batm Advanced Communications Ld
BVIC.L,Britvic Plc
BVT.L,Baronsmead Vct 2 Plc
BVX.L,
BVXP.L,Bioventix Plc
BWNG.L,Brown [N] Group Plc
BWRA.L,Bristol Water Plc
BWSA.L,Bristol & West Plc
BWY.L,Bellway Plc
BXP.L,Beximco Pharmaceuticals Limited
BYBG.L,Amundi ETF
BYBU.L,Amundi ETF
BYG.L,Big Yellow Group Plc
BYIT.L,
BYOT.L,Byotrol Plc
BZT.L,Bezant Resources Plc
C300.L,SOCIETE GENERALE ACCEPTANCE NV CALL CFDS 5/10/07F250 GBP10080 C
C4XD.L,C4X Discovery Holdings P
C500.L,SOCIETE GENERALE ACCEPTANCE NV PUT CFDS 11/04/08 BT.A E1 GBX320 C
CABP.L,CAB Payments Holdings Limited
CACX.L,Lyxor International Asse
CAD.L,Cadogan Petroleum Plc
CAL.L,Capital & Regional Plc
CAM.L,Camellia Plc
CAML.L,Central Asia Metals Plc
CAPD.L,Capital Drilling Limited
CAPE.L,Ossiam Lux
CAPU.L,Ossiam Lux
CAR.L,Carclo Plc
CARB.L,ETFS Oil Securities Limited
CARD.L,Card Factory Plc
CARP.L,ETFS Oil Securities Limited
CARR.L,Carr's Group Plc
CASE.L,Go Ucits ETF Solutions P
CASH.L,Go Ucits ETF Solutions P
CASP.L,Caspian Sunrise Plc
CAT.L,Catco Reinsurance Opportunities Fund Lim
CATC.L,Catco Reinsurance Opportunities Fund Lim
CATL.L,ETFS Commodity Securities Limited
CAU.L,Centaur Media Plc
CAV.L,CHRYSALIS A VCT ORD GBP0.05
CB5.L,Amundi ETF
CBA.L,Ceiba Investments Limited
CBE3.L,Ishares Vii Plc
CBG.L,Close Brothers Group Plc
CBKD.L,Commercial International
CBND.L,Goldman Sachs ETF Icav
CBOX.L,Cake Box Holdings Plc
CBSE.L,UBS ETF
CBU0.L,Ishares Vii Plc
CBU3.L,Ishares Vii Plc
CBU7.L,Ishares Vii Plc
CBUG.L,Ishares Vii Plc
CBX.L,Cubus Lux Plc
CC1U.L,Amundi ETF
CCAU.L,Ishares Vii Plc
CCBO.L,Wisdomtree Issuer Plc
CCC.L,Computacenter Plc
CCEP.L,Coca-Cola European Partners Plc
CCH.L,Coca-Cola Hbc Ag
CCJI.L,CC Japan Income & Growth Trust Plc
CCL.L,Carnival Plc
CCP.L,Celtic Plc
CCPA.L,Celtic Plc
CCR.L,C&C Group Plc
CCS.L,Crossword Cybersecurity Plc
CCT.L,Character Group Plc
CCZ.L,CCZ
CDFF.L,Cardiff Property Plc
CDIS.L,SSGA SPDR ETFS Europe II
CDL.L,CARDINAL RESOURCES ORD GBP0.2
CE01.L,Ishares Vii Plc
CE2D.L,Amundi Index Solutions
CE31.L,Ishares Vii Plc
CE71.L,Ishares Vii Plc
CEA1.L,Ishares Vii Plc
CEBB.L,Nationwide Building Society
CEG.L,CORSIE GROUP ORD GBP0.001
CEL.L,Caparo En
CEMA.L,CS ETF [Ie] Plc
CEMG.L,Ishares V Public Limited
CER.L,Cerillion Plc
CES1.L,Ishares Vii Plc
CESG.L,CHINA EASTSEA BUSINESS SOFTWARE ORD GBP0.05
CEU1.L,Ishares Vii Plc
CEUG.L,Ishares Vii Plc
CEUR.L,Amundi Investment Solutions
CEY.L,Centamin Plc
CFX.L,Colefax Group Plc
CFYN.L,Caffyns Plc
CG1.L,Amundi ETF
CGB.L,DB X-Trackers II
CGEO.L,Georgia Capital Plc
CGH.L,Chaarat Gold Holdings Ltd
CGI.L,Canadian General Investments Ld
CGL.L,Catlin Group Ltd
CGNR.L,Conroy Gold & Natural Resources Plc
CGO.L,Contango Holdings Plc
CGS.L,Castings Plc
CGT.L,Capital Gearing Trust Plc
CGW.L,Chelverton Growth Trust Plc
CH5.L,Amundi ETF
CH80.L,FTSE China Index
CHAR.L,Chariot Oil & Gas Limited
CHF.L,Chesterfield Resources Plc
CHG.L,Chemring Group Plc
CHH.L,Churchill China Plc
CHI.L,Close High Prop
CHIN.L,Icbc Credit Suisse Ucits ETF Sicav
CHIP.L,Icbc Credit Suisse Ucits ETF Sicav
CHLL.L,
CHNS.L,china shoto ord gbp0.1
CHRT.L,Cohort Plc
CHSS.L,World Chess PLC
CI2G.L,Amundi ETF
CI2U.L,Amundi ETF
CIC.L,Conygar Investment Company Plc [The]
CIND.L,CS ETF [Ie] Plc
CIRC.L,Circle Holdings Plc
CIZ.L,
CJ1U.L,Amundi ETF
CJPU.L,Ishares Vii Plc
CKN.L,Clarkson Plc
CKT.L,Checkit Plc
CLA.L,Capital Lease Aviation Plc
CLCO.L,Cloudcoco Group Plc
CLDN.L,Caledonia Investments Plc
CLI.L,Cls Holdings Plc
CLIG.L,City of London Investment Group Plc
CLIM.L,Multi Units Luxembourg
CLMU.L,Multi Units Luxembourg
CLO.L,Charlton Athletic
CLON.L,Clontarf Energy Plc
CLX.L,CALYX GROUP ORD EUR0.10
CMB.L,Cambria Africa Plc
CMB1.L,Ishares Vii Plc
CMCG.L,UBS Ag
CMCI.L,UBS Ag
CMCL.L,Caledonia Mining Corporation
CMCU.L,UBS Ag
CMCX.L,Cmc Markets Plc
CMET.L,
CMFP.L,Etfx Fund Company Plc
CMGB.L,UBS Ag
CMH.L,Chamberlin Plc
CML.L,Cml Microsystems Plc
CMO.L,Comino
CMOD.L,Source Markets Public Limited Company
CMOP.L,Source Markets Public Limited Company
CMPI.L,
CMU.L,Amundi Investment Solutions
CMX.L,Catalyst Media Group Plc
CMX1.L,Ishares Vii Plc
CMXC.L,CS ETF [Ie] Plc
CNA.L,Centrica Plc
CNAA.L,Multi Units France
CNAL.L,Multi Units France
CNC.L,Concurrent Technologies Plc
CNDX.L,CS ETF [Ie] Plc
CNE.L,Cairn Energy Plc
CNG.L,China Nonferrous Gold Li
CNKY.L,CS ETF [Ie] Plc
CNN.L,Caledonian Trust Plc
CNR.L,Condor Gold Plc
CNS.L,Corero Network Security Plc
CNSG.L,UBS ETF
CNSL.L,Cambridge Nutritional Sciences PLC
CNX1.L,Ishares Vii Plc
CNYA.L,Ishares IV Plc
COA.L,Coats Group Plc
COBR.L,Cobra Resources Plc
COCB.L,Wisdomtree Issuer Plc
COCO.L,ETFS Commodity Securities Limited
COD.L,Compagnie DE Saint Gobain Sa
CODE.L,
CODO.L,Wisdomtree Issuer Plc
COFF.L,ETFS Commodity Securities Limited
COG.L,Cambridge Cognition Hold
COGO.L,Wisdomtree Issuer Plc
COM.L,Comptoir Group Plc
COMF.L,Etfx Fund Company Plc
COMG.L,EUROPASIA EDUCATION ORD GBP0.05
COMM.L,Ishares Vi Plc
COPA.L,ETFS Commodity Securities Limited
COPG.L,Societe Generale Effekten Gmbh
COPL.L,Canadian Overseas Petrol
CORA.L,Cora Gold Limited
CORD.L,
CORN.L,ETFS Commodity Securities Limited
CORO.L,Coro Energy Plc
CORP.L,Ishares Plc
COST.L,Costain Group Plc
COTN.L,ETFS Commodity Securities Limited
COUK.L,Multi Units France
COWZ.L,Pacer US Cash Cows 100 Index
CP9G.L,Amundi ETF
CP9U.L,Amundi ETF
