Symbol,Description
0ELP.L,GROUPE PIZZORNO ENVIRONNEMENT EUR5.354
0ELV.L,GUERBET EUR4
0EMB.L,GREEN REEFERS ASA NOK1
0ENF.L,HARTMANN BRODRENE DKK20
0ENJ.L,HAWESKO HLDGS ORD NPV
0ENN.L,HORNBACH BAUMARKT AG NPV
0EO8.L,HELGELAND SPAREBANK PRIMARY CAPITAL CERTS
0EOF.L,HEXAGON COMPOSITES ASA NOK0.10
0EOI.L,HF CO EUR0.50
0EPM.L,HOLLAND COLOURS ORD EUR2.27
0EPW.L,HOCHTIEF AG NPV
0ERM.L,IBERPAPEL GESTION SA EUR0.60
0ERY.L,INCAP OY NPV
0ET5.L,INTERVEST NPV
0EUH.L,INDUS-HOLDING AG NPV
0EV1.L,
0EVB.L,INYPSA INFORMES Y PROYECTOS SA EUR0.50
0EVE.L,INTEROIL EXPLORATION & PRODUCTION NOK0.05
0EVI.L,INNATE PHARMA A EUR0.05
0EWD.L,INTERPUMP GROUP EUR0.52
0EWR.L,INIT AG NPV
0EX6.L,JENSEN-GROUP NV NPV
0EXG.L,JERONIMO MARTINS SGPS EUR1.
0EXP.L,JUNGHEINRICH NON VTG PRF SHS NPV
0EYG.L,KBC GROUPE SA NPV
0F07.L,KAUFMAN & BROAD EUR0.26
0F08.L,KONGSBERG GRUPPEN ASA NOK5
0F0J.L,KITRON ASA NOK1
0F1N.L,KWS SAAT AG NPV
0F1U.L,LACROIX INDUSTRIES NPV
0F29.L,LASSILA & TIKAN ORD NPV
0F2N.L,LDLC.COM EUR0.18
0F2S.L,LINEDATA SERVICES EUR1
0F2Z.L,LEIFHEIT AG NPV
0F3G.L,LINGOTES ESPECIALE EUR1
0F4I.L,KLEPIERRE EUR1.40
0F4O.L,LOTUS BAKERIES ORD NPV
0F6L.L,MAUREL & PROM EUR0.77
0F7F.L,DURO FELGUERA EUR0.5
0F8T.L,MAISONS FRANCE CONFORT NPV
0F8V.L,MGI COUTIER EUR8
0FA0.L,MELEXIS NPV
0FB0.L,MOTA ENGIL SGPS EUR1
0FBL.L,MONTI ASCENSORI EUR0.5
0FBS.L,MOBISTAR NPV
0FBX.L,MONTEBALITO SA EUR1
0FC9.L,MTU AERO ENGINES INVEST NPV (REGD)
0FDB.L,NAVAMEDIC ASA NOK1
0FDN.L,NICOLAS CORREA SA EUR0.8
0FDT.L,NEMETSCHEK AG ORD NPV
0FF9.L,NORDIC SEMICONDUCTOR NOK0.05
0FFY.L,NOKIAN RENKAA(NOKIAN TYRES) EUR0.2
0FGH.L,NORWEGIAN AIR SHUTLE ASA NOK0.10
0FGL.L,NEXUS AG NPV
0FH7.L,OHB TELEDATA AG NPV
0FHP.L,OLAV THON EIENDOMSSELSKAP NOK10
0FHS.L,OLVI SER`A`EUR2
0FI1.L,OPAP SA EUR0.30(CR)
0FI5.L,OPERA SOFTWARE SA NOK0.02
0FIN.L,ORKLA ASA NOK1.25
0FIZ.L,HELLENIC TELECOM.ORGANIZATION S.A. EUR2.39
0FJ8.L,OUTOKUMPU OYJ `A`NPV
0FJC.L,PATRIZIA IMMOBILIEN AG NPV
0FLE.L,PETZETAKIS SA EUR1
0FM1.L,PIAGGIO & C SPA EUR0.52
0FMO.L,POWSZECHNA KASA OSZCZED BK POLSKI PLN1
0FNZ.L,PONSSE NPV
0FOA.L,EXACOMPTA CLAIREFONTAINE EUR4
0FOS.L,PRECIA NPV
0FP0.L,PRIM SA EUR0.25
0FP9.L,BANCA PROFILO EUR0.52
0FQ8.L,PORTUGAL TELECOM SGPS SA EUR0.35(REGD)
0FQI.L,PUBLICIS GROUPE SA EUR0.40
0FQN.L,PUNCH INTERNATIONAL NPV
0FQR.L,PFEIFFER VACUUM TECHNOLOGY ORD NPV
0FQS.L,PESCANOVA SA EUR6
0FRI.L,QUANTEL EUR3
0FRJ.L,RATIONAL AG NPV
0FS8.L,RENEWABLE ENERGY CORP AS NOK1
0FSJ.L,RENTA CORPORACION REAL ESTATE EUR1
0FSO.L,RETAIL ESTATES NPV
0FT3.L,RIBER EUR0.16
0FTQ.L,RISANAMENTO(SOC PEL)DI NAPOLI SPA EUR1.03
0FTZ.L,ROOD TESTHOUSE ORD EUR0.11
0FUT.L,RUCH S.A. PLN1
0FWN.L,SANDNES SPAREBANK NOK100(GRUNNFONDSBEVIS)
0FWY.L,SALMAR ASA NOK0.25
0FXQ.L,SCANA INDUSTRIER ASA NOK1.25
0G0X.L,SILICON SENSOR INTERNATIONAL AG NPV
0G15.L,KOENIG & BAUER AG NPV
0G19.L,SKJERN BANK DKK20
0G1T.L,SOLUCOM SA NPV
0G29.L,SEMPERIT HLDGS AG NPV
0G2C.L,SMTPC EUR3.05
0G2X.L,SOFINA NPV
0G2Z.L,SOLSTAD NOK2
0G30.L,SOCFINASIA NPV
0G33.L,SOLAR A/S `B`DKK100
0G34.L,MOURY CONSTRUCT NPV
0G3T.L,SO PA F SPA EUR0.50
0G40.L,SPAREBANKEN MORE NOK100
0G45.L,SPAREBANKEN SOR NOK10
0G51.L,STOREBRAND ASA `A`NOK5
0G5B.L,STO AG NON VTG PRF NPV
0G5H.L,TH TIEDONHALLINT THT IV NPV
0G67.L,SPAREBANKEN VEST NOK100 GRUNNFONDSBEVIS
0G68.L,KENDRION N.V. EUR2
0G6T.L,SYMRISE AG NPV
0G6W.L,SYSTEMAT NPV
0G73.L,SOFTING AG NPV
0G77.L,SALZGITTER AG ORD NPV
0G7B.L,SUDZUCKER AG NPV
0G8C.L,TELENOR ASA ORD NOK6
0G91.L,TREVI FINANZIARIA INDUSTRIALE EUR0.50
0G99.L,THROMBOGENICS NPV
0G9J.L,TAMBURI INVESTMENT PARTNERS EUR0.52
0GA3.L,TELECOM ITALIA SPA(NEW) DI RISP EUR0.55
0GAF.L,TELENET NPV
0GB8.L,TOPSIL DKK0.25
0GC8.L,TAKKT AG NPV
0GD5.L,UBM REALITAETENENTWICKLUNG NPV
0GDR.L,UNIQA VERSICHERUNG AG NPV
0GDU.L,UNIPETROL CZK100
0GE4.L,UNITED INTERNET AG NPV
0GEA.L,UZIN UTZ AG NPV
0GEG.L,VAISALA NPV`A`
0GF6.L,VEIDEKKE NOK0.5
0GFN.L,VIPA HOLDING NPV
0GFY.L,VIKING LINE AB EUR0.17
0GGH.L,VITTORIA ASSICURAZIONI EUR1
0GGK.L,VESTJYSK BANK DKK10
0GHX.L,VUKI AS EUR33.19
0GJA.L,WOLFORD AG NPV
0GJK.L,WASHTEC AG NPV
0GJN.L,WUSTENROT & WURTTEMBERGISCHE AG NPV
0GJS.L,XILAM ANIMATION EUR0.10
0GKA.L,YIT OYJ NPV
0GLY.L,S.A.M.S.E. EUR1
0GM2.L,LEROY SEAFOOD GROUP NOK1
0GM9.L,ESI GROUP EUR3
0GMG.L,ADDNODE AB SER`B`NPV
0GN6.L,ARGAN EUR2
0GNK.L,KNOW IT ORD NPV
0GNV.L,HEBA FASTIGHETS AB SER`B`NPV
0GOI.L,MARTIFER SA EUR0.5
0GOX.L,POLYTEC HOLDING AG EUR1
0GOZ.L,DATATRAK HLDGS EUR0.232937
0GP0.L,KLOVERN AB NPV
0GP7.L,MEDIVIR SER`B`NPV
0GQE.L,CLAS OHLSON AB SER `B` NPV
0GRK.L,MILLICOM INTERNATIONAL CELLULAR BDR EACH REP 1 USD1.50 MILLICOM INTL
0GRP.L,BIOTAGE AB NPV
0GRX.L,HEXAGON AB SER`B`NPV
0GRZ.L,RAYSEARCH LABORATORIES AB SER`B`NPV
0GSE.L,MIDELFART SONESSON AB SER`B`NPV
0GSS.L,NOTE AB ORD NPV
0GT1.L,CASTELLUM AB SEK0.50
0GT3.L,PROACT IT GROUP NPV
0GT7.L,METABOLIC EXPLORER EUR10
0GT8.L,BEIJER ELECTRONICS AB ORD NPV
0GTI.L,CRCAM BRIE PICARDIE (2EME DU NOM) EUR5
0GTM.L,DIOS FASTIGHETER AB NPV
0GTN.L,BIOGAIA AG SER`B`NPV
0GTO.L,KAPSCH TRAFFICCOM AG NPV
0GTR.L,HUSQVARNA SER`B`NPV
0GU8.L,SOFTRONIC AB SER B NPV
0GUO.L,CTT SYSTEMS NPV
0GUX.L,SKANDINAVISKA ENSKILDA BANKEN SER`C`NPV
0GVS.L,CATENA AB NPV
0GW0.L,NOBIA AB NPV
0GW3.L,HUFVUDSTADEN AB SER`A`NPV
0GW8.L,GRIEG SEAFOOD NOK1
0GWB.L,LUNDBERGFORETAGEN AB SER`B`NPV
0GWI.L,HUSQVARNA SEK100 SER`A`
0GWJ.L,CLINICA BAVIERA SA EUR0.01
0GWL.L,SAAB AB SER`B`NPV
0GWS.L,BILLERUD AB NPV
0GX2.L,NEURONES EUR0.40
0GXD.L,SVEDBERGS I DALSTROP SER`B`NPV
0GXJ.L,MODERN TIMES GROUP(MTG) SER`B`NPV
0GXK.L,VBG GROUP AB NPV `B`
0GY8.L,AEFFE SPA EUR0.25
0GYM.L,ACKERMANS NPV(POST SPLIT)
0GYQ.L,VARTA AG NPV
0GYZ.L,NORDIC MINING ASA NOK0.1
0GZK.L,IBA(ION BEAM APPLICATIONS) NPV(POST SPLIT)
0GZV.L,GETINGE AB SER`B`NPV
0GZX.L,DIASORIN S.P.A. EUR1
0H00.L,BANCO DE SABADELL SA EUR0.125
0H0G.L,SWECO AB SER`B`NPV
0H0L.L,ROTTNEROS AB ORD NPV
0H0U.L,SENSYS TRAFFIC AB NPV
0H13.L,INDUSTRIVARDEN AB SER`A`NPV
0H14.L,NET INSIGHT NPV SER`B`
0H19.L,OREXO AB NPV
0H1C.L,VOSTOK NAFTA LTD SDR USD1.00
0H22.L,BIOINVENT AB NPV
0H2J.L,PREVAS AB SER`B`NPV
0H2W.L,BERGS TIMBER AB SER`B`NPV
0H2Z.L,FASTIGHETS BALDER AB NPV
0H30.L,INDUTRADE AB NPV
0H38.L,PRICER AB SER`B`NPV
0H3Q.L,DEUTSCHE POST AG NPV(REGD)
0H3T.L,DEUTSCHE BOERSE AG NPV
0H4A.L,DEUTSCHE LUFTHANSA AG NPV
0H59.L,ACCOR EUR3
0H65.L,JUVENTUS FOOTBALL CLUB SPA EUR0.10
0H6G.L,ENI EUR1
0H6I.L,TELECOM ITALIA SPA(NEW) EUR0.55
0H6T.L,SWEDBANK AB SER`A`NPV
0H6X.L,TELIASONERA AB NPV
0H7D.L,DEUTSCHE BANK AG ORD NPV(REGD)
0H7I.L,LANXESS AG NPV
0H7O.L,BANKINTER SA EUR0.30(REGD)
0H8X.L,LOCINDUS EUR5.75
0H9M.L,APPTIX ASA NOK0.0333
0H9P.L,INTRUM JUSTITIA AB NPV
0H9U.L,DEXIA NPV
0H9V.L,CLARIANT CHF4.25
0H9X.L,FRESENIUS MEDICAL CARE AG & CO.KGAA NPV
0HA0.L,RWE AG(NEU) NPV`A`
0HA3.L,MUNCHENER RUCKVERSICHERUNGS AG NPV(REGD)
0HA8.L,CORPORACION FINANCIERA ALBA EUR1
0HA9.L,INDRA SISTEMAS S.A EUR0.20'A'
0HAA.L,FOMENTO DE CONSTRUCCIONES Y CONTRA EUR1
0HAC.L,ACS ACTIVIDADES DE CONSTRUCCION Y ORD EUR0.5
0HAF.L,NOKIA CORP NPV0.06
0HAG.L,SAMPO SER'A'NPV
0HAH.L,FORTUM OYJ EUR3.40
0HAI.L,CREDIT AGRICOLE EUR3
0HAL.L,CARREFOUR EUR2.5
0HAN.L,BOUYGUES EUR1
0HAQ.L,SANOFI-AVENTIS EUR2
0HAR.L,AXA EUR2.29
0HAT.L,PERNOD-RICARD NPV
0HAU.L,LVMH MOET-HENNESSY LOUIS VUITTON EUR0.30
0HAV.L,SODEXHO ALLIANCE EUR4
0HAZ.L,CAP GEMINI EUR8
0HB0.L,CANAL PLUS EUR0.75
0HB1.L,CASINO GUICHARD-PERRACHON EUR1.53
0HB2.L,LAGARDERE GROUP S.C.A. EUR6.10(REGD)
0HB4.L,DASSAULT SYSTEMES SA EUR1
0HB5.L,BNP PARIBAS EUR2
0HB9.L,ALSTOM EUR14
0HBC.L,INTESA SANPAOLO SPA EUR0.52
0HBF.L,MEDIOBANCA SPA EUR0.50
0HBH.L,RCS MEDIAGROUP EUR1
0HBI.L,ENEL SPA EUR1
0HBL.L,AEM SPA EUR0.52
0HBP.L,HENNES & MAURITZ AB NPV 'B'
0HBQ.L,SKF AB SER`B`NPV
0HBT.L,SKANSKA AB SER'B'NPV
0HBY.L,SKANDINAVISKA ENSKILDA BANKEN SER'A'NPV
0HC0.L,SANDVIK AB NPV
0HC8.L,ROULARTA MEDIA GROUP NV NPV
0HCC.L,3U HLDGS AG NPV
0HCI.L,
0HCR.L,NOBEL BIOCARE AG CHF2
0HCT.L,VIVENDI EUR5.5
0HD9.L,ZONCOLAN ASA NOK0.07
0HDJ.L,MEKONOMEN AB NPV
0HDK.L,SYSTEMAIR AB NPV
0HDP.L,D/S NORDEN DKK1
0HDQ.L,SYNERGIE EUR5
0HDU.L,BOUVET ASA NOK1
0HDY.L,GOLAR LNG COM STK USD1.00
0HE2.L,EPICEPT CORP COM STK USD0.0001
0HE5.L,MERCK & CO INC COM STK USD0.01
0HE6.L,NYSE EURONEXT INC COM STK USD0.01
0HEQ.L,C.M.B.(COMPANY MARITIME BELGE) NPV (POST-SPLIT)
0HEZ.L,EAST CAPITAL EXPLORER AB NPV
0HF1.L,ARHUS ELITE AS DKK1 SER`B`
0HFI.L,GEMALTO EUR1
0HFP.L,INMOBILIARIA DEL SUR EUR2
0HFR.L,JAZZTEL EUR0.08
0HG8.L,
0HGC.L,PORSCHE AG NON VTG PRF NPV
0HGR.L,SUBSEA 7 INC COM STK USD0.01
0HGZ.L,TOWER GROUP A/S DKK10
0HH0.L,TRIGLAV NALOZBE NPV
0HHJ.L,CARBONNE LORRAINE EUR2
0HHT.L,SAF MAGELAN AD BGN1
0HHU.L,SIRAGA EUR3.75
0HIT.L,IBERDROLA SA EUR0.75
0HIY.L,BOLSAS Y MERCADOS ESPANOLES EUR3.23
0HJF.L,ABB LTD CHF2.50(REGD)
0HJI.L,S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV
0HJL.L,ICADE EMGP NPV
0HK4.L,COMPAGNIE FINANCIERE RICHEMONT SA `A`CHF1(BR)EQUITY UNIT
0HKE.L,NOVARTIS AG CHF0.50(REGD)
0HKF.L,OC OERLIKON CORP AG CHF20(REGD)
0HL5.L,TRDNJAVA HLDG DD NPV
0HL8.L,WALLENSTAM SER`B`NPV
0HLE.L,FAIR VALUE REIT-AG NPV
0HLQ.L,TAG TEGERNSEE IMMO AG NPV
0HLU.L,EURONEXT AMSTERDAM EUR6
0HM0.L,VGP NV EUR0.014
0HMZ.L,GRUPPO COIN SPA. EUR0.10
0HN1.L,ROYAL CARIBBEAN CRUISES COM STK USD0.01
0HN3.L,S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV
0HNZ.L,ARSEUS NV NPV
0HOB.L,ARCHER-DANIELS-MIDLAND CO COM STK NPV
0HOH.L,COFINIMMO ORD NPV
0HOJ.L,COMPUGROUP HOLDING AG NPV
0HOU.L,INGENICO EUR1
0HOY.L,KONGSBERG AUTOMOTIVE ASA NOK0.50
0HQN.L,ALCOA INC COM STK USD1
0HQU.L,COLRUYT SA NPV
0HQW.L,STALLERGENES EUR0.95
0HR3.L,DUNI AB SEK10
0HRJ.L,SSAB(SVENSKT STAL)AB SER`A`NPV
0HRR.L,STALLERGENES EUR0.95
0HRZ.L,L`OREAL EUR0.20
0HT4.L,FIAT SPA DI RISP EUR5(NON CNV)
0HTF.L,NORWEGIAN ENERGY CO SA NOK3.10
0HTP.L,VOLVO(AB) SER`B`NPV
0HTZ.L,COFINIMMO ORD NPV
0HV2.L,HERMES INTERNATIONAL NPV
0HV8.L,FONCIER FINANCIERE ET DE PARTICIP EUR2
0HVA.L,HAULOTTE GROUP EUR0.13
0HVB.L,INGENICO EUR1
0HVF.L,TESFRAN EUR20
0HVP.L,ROYAL CARIBBEAN CRUISES COM STK USD0.01
0HW0.L,KONGSBERG AUTOMOTIVE ASA NOK0.50
0HW4.L,SECURITAS AB SER`B`NPV
0HWG.L,NYSE EURONEXT INC COM STK USD0.01
0HX1.L,OLYMPIQUE LYONNAIS GROUPE EUR1.52
0HX7.L,NORDIC SERVICE PARTNERS HLDGS AB NPV
0HXB.L,TENARIS S.A. USD1
0HY2.L,CEMENTIR SPA EUR1
0HYI.L,SIMULATION ANALYSIS & FORECASTING CHF0.04 (BR)
0HYP.L,AGROS DEVELOPMENT PROODOS EUR1.71
0HZC.L,EURAZEO ORD NPV
0HZD.L,WENDEL INVESTISSEMENT EUR4
0HZW.L,VIEL & CIE EUR0.20
0I0H.L,PISCINES DES JOYAUX EUR3.09
0I0T.L,ORAL HAMMASLAAKARIT NPV
0I14.L,SANOMA WSOY OYJ NPV
0I1W.L,ROYAL CARIBBEAN CRUISES COM STK USD0.01
0I21.L,SIEM OFFSHORE USD0.01
0I3G.L,WERELDHAVE BELGIUM NPV
0I3I.L,ATLANTIC AIRWAYS P/F DKK100
0I3Q.L,BARCO(NEW) NPV
0I3Z.L,DEUTSCHE EUROSHOP AG NPV
0I47.L,DRAGERWERK AG NON VTG PREF NPV
0I4Q.L,ST MICROELECTRONICS EUR1.04
0I4X.L,SODEXHO EUR4
0I50.L,ELMA HOLDING EUR0.09
0I5O.L,BERGMAN & BEVING AB SER B NPV
0I5P.L,GLASTON OYJ NPV
0I5Z.L,ALFA LAVAL AB NPV
0I6Q.L,DELHAIZE FRERES ET CIE(LE LION)SA NPV
0I76.L,CAMBODGE(CIE DU) EUR42(REGD)
0I77.L,CEE IMOTI REIT BGN1
0I8Y.L,ELISA OYJ NPV
0I9L.L,SSAB(SVENSKT STAL)AB SER`A`NPV
0IA2.L,KINNEVIK INVESTMENTS AB SER`B`NPV
0IAH.L,SECURITAS AB SER`B`NPV
0IAW.L,ZON MULTIMEDIA SERVICIOS EUR0.01
0IAX.L,DASSAULT AVIATION EUR8
0IB0.L,ARKEMA EUR10
0IB6.L,ANDRE TRIGANO EUR4
0IB7.L,EUROPACORP EUR0.34
0IB8.L,ALES GROUPE EUR2
0ICP.L,CELL THERAPEUTICS INC COM STK NPV
0ICU.L,ORGASYNTH EUR2
0IDA.L,PIXELPARK AG NPV
0IDU.L,DOCKWISE LTD USD0
0IE9.L,SEMAPA SOC INVEST E GESTAO SGPS EUR1
0IFM.L,POL-AQUA S.A. PLN1
0IFR.L,PETROLINVEST S.A. PLN10
0IGA.L,ORIOLA-KD CORPORATION SER`B`NPV
0IGF.L,NEXANS EUR1
0IH3.L,KOMERCNI BANKA CZK500
0IH4.L,CELL THERAPEUTICS INC COM STK NPV
0IHM.L,ATRIUM LJUNGBERG SER`B`NPV (POST SPLIT)
0IHP.L,AMG ADVANCED METALLURGICAL GROUP N. EUR0.02
0IHV.L,MOMINA KREPOST JSC BGN1
0II2.L,KONE OYJ NPV ORD `B`
0II4.L,GREENERGYCAPITAL SPA NPV
0IID.L,PARIS RE HLDGS LTD CHF9.72
0IIF.L,VIVENDI EUR5.5
0IIH.L,PPR EUR4
0IIM.L,BALKANKAR REKORD AD BGN1
0IJO.L,MEINL EUROPEAN LAND EUR5(AUST CERT)
0IJV.L,ALITA LTL1
0IJW.L,ZENTIVA NV ORD EUR0.01
0IKH.L,KOMERCNI BANKA CZK500
0IKJ.L,WARTSILA OYJ ABP EUR3.5
0IKW.L,ST MICROELECTRONICS EUR1.04
0IL0.L,DEVIN AD DEVIN BGN1
0ILI.L,FLUIDRA SA EUR1
0ILL.L,LABORATORIOS FARMACEUTOCOS ROVI SA EUR0.06
0ILW.L,LYXOR INTL ASSET MANAGEMENT LYXOR ETF MSCI EMERGING MARKETS
0IMT.L,PHOTOCURE ASA NOK0.5
0IN2.L,GROUPE BRUXELLES LAMBERT(NEW) NPV
0IN3.L,IMS(INTERNATIONAL METAL SERVICE) NPV
0INB.L,ST MICROELECTRONICS EUR1.04
0IND.L,DUNAV HOLDING JSC BGN1
0IO2.L,KUHNE & NAGEL AG CHF1(REGD)
0IP1.L,BASTIDE LE CONFORT MEDICAL EUR0.45
0IP9.L,PAGES JAUNES EUR0.2
0IPD.L,MOBOTIX AG NPV (REG)
0IPT.L,AKER SOLUTIONS ASA NOK2
0IPY.L,AUBAY TECHNOLOGY EUR0.50
0IQC.L,PETAR KARAMINCHEV AD BGN1
0IQU.L,MERCIALYS EUR1
0IR9.L,BULGARIAN HOLDING CO BGN1
0IRE.L,HYDROPNEVMOTEHNIKA JSC BGN2
0IRF.L,EVOTEC AG NPV
0IRK.L,ALTAREA NPV
0IRN.L,ASSYSTEM SA EUR1
0IS8.L,FONCIERE DES MURS(NEW) EUR4
0ISM.L,HKSCAN CORP NPV
0IT3.L,SCOR EUR7.876972
0ITS.L,INDUSTRIALEN KAPITAL HLDG AD BGN1
0ITV.L,ZENIT AGROHOLDING AD BGN1
0IU8.L,SAFRAN S.A. EUR0.20
0IUE.L,TOUR EIFFEL EUR48
0IUJ.L,INTER PARFUMS EUR 3
0IUV.L,TOTAL GABON ORD USD17
0IV3.L,GRAND HOTEL VARNA BGN1
0IVB.L,INNELEC MULTIMEDIA EUR1.53
0IVJ.L,LECTRA EUR1.5
0IVM.L,SPAREBANKEN MIDT NORGE PRIMARY CAPITAL CERT NOK25
0IVW.L,BULGARSKA ROZA-SEVTOPOLIS BGN1
