,tick,PC1,PC2,PC3,label
0,AACG,-987550.1499607504,-5.347292041886693,0.6269339067613579,0
1,AACI,-985768.1499609224,-26.74907343323488,0.6822781575260211,0
2,AACIU,-992009.1499604612,53.54176862211466,1.2245090113033819,0
3,AADI,-884168.1499608458,-20.169778605216507,2.668570227727855,0
4,AAME,-987841.1499607124,3.7651108481214988,0.5157219408483154,0
5,AAOI,1445206.8500393538,-3.378013664003941,2.901568427315528,3
6,AAON,-597369.1499604398,14.775219523372362,-1.2650597206511158,0
7,ABAT,-727291.1499606239,11.895932959932715,7.764918336463391,0
8,ABCB,-643627.14996053,-9.496542691604523,-3.7207581228633035,0
9,ABCL,631730.8500394173,12.512689914879699,1.0362559227280579,3
10,ABCM,5360790.850039247,-13.527985687540466,0.36508614331352823,1
11,ABEO,-878155.1499605771,11.405106815603695,2.412800940722827,0
12,ABIO,-968701.1499606598,13.837072196663152,0.9971893452155375,0
13,ABL,-976638.1499606669,17.058459993936385,0.685142371242834,0
14,ABLV,-971465.1499607391,12.649697845386356,0.4758012909031145,0
15,ABNB,5781230.850039555,16.187872958701583,-7.781071034663533,1
16,ABOS,-542587.1499604709,31.98419900656287,1.942199063937871,0
17,ABSI,-670236.1499606544,-10.50879433254875,1.6216782905130285,0
18,ABUS,-381768.14996065263,0.4313218269461022,0.9288124710977718,0
19,ABVC,816030.8500390754,-16.15880449329643,4.309968274942305,3
20,ACAB,-978976.1499609818,-28.68716405585558,0.06141368857991347,0
21,ACAC,-980803.1499608996,-18.454216021879787,0.14380802809871177,0
22,ACAD,614960.8500393936,4.75725997782246,1.406818992703637,3
23,ACAH,-987439.1499609133,-19.6911661769529,0.05435909497947042,0
24,ACAHU,-991725.1499609438,-24.89382911993512,0.2627763384872477,0
25,ACAX,-970630.1499609837,-31.94906486479057,0.09195680701487313,0
26,ACBA,-978960.1499609716,-31.7286478487105,0.17108538122482309,0
27,ACCD,-437844.1499605451,-2.1688837756801487,2.2572070628564136,0
28,ACDC,-367860.1499606287,-4.097691785791854,-3.0436439038372844,0
29,ACER,1383555.850039268,-13.805360829650116,2.3307145642265703,3
30,ACET,-554992.1499606275,3.9246282572315554,3.050248043205061,0
31,ACGL,768912.8500395472,-0.35634938862829346,-7.349068811387299,3
32,ACGLN,-953841.1499606941,-11.324813989916507,-4.339852457031415,0
33,ACGLO,-961430.1499606658,-13.968458942859753,-4.380814887691292,0
34,ACHC,-496523.1499604609,9.879861175820167,0.7255639898915276,0
35,ACHL,-936417.1499607158,-3.4427126219784996,2.10040366041596,0
36,ACHV,-950169.1499606894,-1.1311154245444208,3.493686565460078,0
37,ACIC,-542698.149960811,-15.152687522856125,9.596600360403123,0
38,ACIU,-942195.1499606866,-6.280598061078421,1.3262364898635934,0
39,ACIW,-543031.1499605441,-8.26564413111585,-0.4592570682509295,0
40,ACLS,-441066.1499602683,24.52720358801634,-6.337084016736609,0
41,ACLX,-456377.14996078616,-14.009231437016659,4.855726935064254,0
42,ACMR,271361.8500395331,12.144752722716335,-0.4934206220170479,3
43,ACNB,-980482.149960557,-8.062543201651069,-4.0770350972757345,0
44,ACNT,-985765.1499606163,3.1897276534092565,0.9330214088404276,0
45,ACON,-888477.1499607359,0.3216989554475442,0.97884556921539,0
46,ACOR,-983901.1499605713,7.56445218290579,-8.662416895441734,0
47,ACRS,23580.850039284745,-6.2574493795183095,2.0607511884272642,3
48,ACRV,-976092.1499607582,-2.8578160831552872,2.527018947567321,0
49,ACRX,-675204.1499605556,14.794439500528698,4.0555967060593625,0
50,ACST,-940927.149960686,1.3326463762146985,6.137630205942462,0
51,ACT,-785209.1499605532,2.654267954133416,-3.5111754460093247,0
52,ACTG,-763633.1499607178,-13.937567942908302,0.6536968395990054,0
53,ACVA,-32881.1499605633,2.6728764032204855,0.9901190360185687,0
54,ACXP,-249450.14996067245,12.189583792324783,1.904149836250919,0
55,ADAG,-976193.1499606873,8.950394343658523,1.4439570837956226,0
56,ADAP,-577369.1499605906,9.07280383366494,1.1137784462045284,0
57,ADBE,1670631.8500395617,-7.665627583721991,-11.183189008890182,3
58,ADD,-758398.1499606771,12.402224463465572,15.620591349821739,0
59,ADEA,-460715.1499605398,7.2353618475100525,-0.4076024568255717,0
60,ADES,-929103.1499606261,-3.230695351969641,1.2548231637343623,0
61,ADI,2317696.850039639,7.018734788448502,-6.891432720689377,1
62,ADIL,-922679.1499599885,-1.4115656725732206,-142.75133003724838,0
63,ADMA,1277580.8500393482,0.2941736051236414,0.6749296034427257,3
64,ADN,-568396.1499608613,-14.499330745914106,2.140558558400893,0
65,ADOC,-989300.149960888,-22.406389944622365,0.9809911489993133,0
66,ADP,515920.8500397408,22.12185429735098,-7.989063614886386,3
67,ADPT,400985.8500394935,5.675724476406357,1.8247976233795355,3
68,ADSE,-964828.1499607775,-5.953347353225848,1.3516597723054158,0
69,ADSK,250777.85003964044,10.028976769971969,-3.582581131447708,3
70,ADTH,-910387.1499607579,-5.379430339708172,0.25037930805854247,0
71,ADTN,-186033.1499605226,7.852833873487493,1.1930133277128128,0
72,ADTX,-758223.1499613413,26.129725787240744,149.69603558124547,0
73,ADUS,-913515.1499605355,6.244556611532975,-2.9714212530908792,0
74,ADV,-576625.1499606137,12.441372159387884,4.534650247775635,0
75,ADVM,-747744.1499605165,16.992123284474356,1.8666177463836542,0
76,ADXN,-987230.1499607783,13.35355514321885,24.31688411813028,0
77,AEAE,-983927.149960904,-16.350849852621078,0.07086542134719237,0
78,AEHL,-966313.1499605164,23.55165466434589,-1.8111161142746615,0
