tick,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,Average Volume,PE Ratio,EPS
AMWD,0.158249495,0.033477951,1.525039105,0.153129621,3.304551684,88727,10.87,6.69
AMZN,0.172015519,0.022900731,1.103260604,0.1225329,3.494774838,43331014,72.57,1.91
ANDE,0.203900409,0.030525735,0.888774721,0.106973632,2.112107462,204466,24.89,2.12
ANGI,-0.261775243,0.042459953,1.145063326,0.125565359,1.956322472,531611,,-0.21
ANGO,-0.114458972,0.030844995,0.969054447,0.112797296,2.279050352,537927,45.4,0.15
ANIK,-0.01991558,0.030442845,0.872221877,0.105772853,2.078414573,262558,,-1.51
ANIP,0.190111986,0.035350952,1.054597486,0.119002773,2.164093719,197948,,-0.48
ANSS,0.179083309,0.022446664,1.283495431,0.135607522,4.147944785,783145,51.94,5.54
ANTH,17.87032266,2.246380295,-2.360589467,-0.128742243,-0.0762303,250,,-0.01
ANY,0.318275103,0.091737268,1.071457231,0.120225815,0.847265418,166595,,-15.19
AOSL,0.368760352,0.039953654,1.583291796,0.157355396,2.874715692,98779,61.45,0.42
APDN,0.826151504,0.156336153,0.275331056,0.062473108,0.127757446,10903,,-0.48
APEI,-0.236471712,0.036167555,0.70535613,0.093668053,1.414750104,26026,,-3.79
APOG,0.161554123,0.030144455,1.379818395,0.142594998,3.320511081,84177,9.81,4.55
APTO,2.589660777,0.391320378,1.068632075,0.120020872,0.198100779,24416,,-7.63
APWC,0.306253258,0.06216782,0.219412651,0.058416666,0.256027416,768,6.14,0.21
ARAY,0.067781151,0.038990809,1.101239865,0.122386311,2.048849798,328670,,-0.1
ARCB,0.339239381,0.031463923,1.212464668,0.130454798,2.79541744,702703,22.73,5.28
ARCC,0.133256115,0.020746516,0.897685486,0.107620038,3.138842174,3210618,8.51,2.31
ARDX,0.526813774,0.058886205,1.099721205,0.122276144,1.354750995,6515258,,-0.06
ARIS,-0.031719516,0.039141127,0.798478392,0.100423342,1.479858809,526320,28.18,0.34
ARKR,0.08340404,0.034119992,0.843248571,0.103671067,1.792821823,1211,10.74,1.43
ARLP,0.268791642,0.040315411,1.082255483,0.121009143,1.94737301,776271,4.32,5.56
AROW,0.003852829,0.02296168,0.956827442,0.111910323,3.022876493,68386,11.39,2.02
ARRY,0.111516059,0.051876447,1.189954375,0.128821853,1.663989296,5855780,35.55,0.51
ARTNA,0.069805834,0.017289449,0.48040458,0.077349583,2.015656036,34135,24.35,1.73
ARTW,0.264618339,0.048063984,0.307552392,0.064810513,0.464183589,8965,12.75,0.16
ARWR,0.340149849,0.042188406,1.416618073,0.145264525,2.435847562,1208807,,-1.71
ASMB,-0.296567658,0.05109826,1.077768975,0.120683682,1.53006544,870243,,-1.62
ASML,0.349030504,0.025708683,1.377232899,0.14240744,3.886136134,906774,31.4,20.46
ASPS,-0.10840744,0.04644545,0.805696329,0.100946947,1.258399826,118402,,-2.8
ASRV,-0.024103905,0.021211378,0.34386892,0.067444992,1.17601937,4161,15.35,0.17
ASTC,0.144004827,0.09153498,0.516676313,0.079980812,0.409469828,530,,-5.95
ASTE,0.059364904,0.028272502,1.027357587,0.117026732,2.636014693,225004,39.94,0.78
ASTI,-5.327381001,0.08531665,0.195004974,0.056646081,0.165806801,165140,,-188
ASUR,0.114220467,0.036232176,0.907358926,0.10832177,1.816666212,130985,,-0.45
ASYS,0.238633044,0.034851487,0.929811675,0.109950541,1.935370534,25250,29.64,0.25
ATAI,-0.845562012,0.049086354,0.979444078,0.113550982,1.447469146,579884,,-0.92
ATEC,0.461334049,0.042653067,1.371503676,0.14199183,2.332583253,2550937,,-1.51
ATHX,30.86513236,4.459102145,-2.830943816,-0.16286276,-0.046054733,877931,,-2.58
ATLC,0.702652043,0.047769432,1.347196724,0.140228551,2.045838668,42055,6.65,4.51
ATLO,-0.012820752,0.02089251,0.796404188,0.100272875,2.765243413,38809,12.12,1.47
ATNI,-0.054956117,0.032697187,0.79928153,0.100481603,1.773290268,54860,,-0.98
ATOS,0.802009791,0.12183471,1.084738993,0.121189302,0.645869326,280639,,-0.25
ATRA,-0.308390832,0.053819349,1.617231102,0.159817427,2.179837342,2009601,,-2.78
ATRC,0.120975491,0.027235205,1.060003723,0.119394953,2.823366023,499209,,-0.54
ATRI,-0.077105621,0.021694612,0.564966027,0.083483852,1.88912582,1987,21.97,15.33
ATRO,0.089638442,0.041775984,1.439213671,0.146903659,2.499131041,80081,,-1.17
ATSG,0.102296262,0.02537561,0.80872824,0.101166888,2.31194001,553465,11.39,1.81
AUBN,0.00115811,0.027538576,0.460349457,0.075894741,1.21265316,933,7.45,2.82
AUDC,0.084182068,0.030693097,0.978709416,0.113497689,2.313148412,265957,23.07,0.43
AUPH,0.36944651,0.050730054,0.936217846,0.110415259,1.338757849,2024776,,-0.54
AVAV,0.174503009,0.03216454,0.996371333,0.114778922,2.24716172,167148,,-5.85
AVGO,0.366558394,0.023248754,1.291106589,0.136159652,4.028588033,1801543,27.16,32.5
AVHI,0.043738919,0.00375967,0.005344325,0.042887689,0.103117785,1700,,-0.37
AVID,0.512868603,0.039001935,1.197123862,0.129341943,2.226605987,513126,37.56,0.72
AVNW,0.431572523,0.03492152,0.943069764,0.110912311,1.959030164,168088,31.45,0.97
AWRE,-0.052331443,0.032832079,0.483832985,0.077598287,1.069024178,399786,,-0.16
AXDX,-0.145991522,0.064037968,1.224209699,0.131306808,1.386783671,9897,,-7.91
AXGN,-0.228977003,0.041580163,1.28158156,0.135468686,2.235890344,486988,,-0.55
AXTI,0.014840658,0.042138421,1.342144008,0.139862016,2.310528347,255178,,-0.04
AZPN,0.226048816,0.025640884,0.93612039,0.110408189,2.648434019,246653,,-1.67
BANF,0.181951331,0.02673625,1.003103926,0.115267319,2.721672617,65313,13.02,6.58
BANFP,0.062790849,0.015808666,-0.007153838,0.041981045,-0.032827238,2994,,
BANR,0.044612417,0.026465352,1.180692237,0.128149957,3.236305251,150362,7.89,5.67
BANX,0.070457836,0.022579079,0.551772231,0.082526746,1.772736005,12290,8.43,2.01
BBGI,-0.146078267,0.048218361,0.855903238,0.104589064,1.287664334,33041,,-1.29
BBSI,0.162544404,0.024919055,0.929980001,0.109962752,2.707275674,44545,14.19,6.87
BCBP,0.075071678,0.023169986,0.86556614,0.105290032,2.709972841,57283,5.39,2.04
BCLI,-0.123022322,0.058554273,0.614766091,0.087096456,0.761625986,1264126,,-0.59
BCOV,-0.088849965,0.032149998,0.910376357,0.108540661,2.054142012,127948,,-0.59
BCPC,0.095600531,0.019270456,0.847468305,0.103977176,3.190229474,67783,38.06,3.18
BCRX,0.285110686,0.051930043,1.257379893,0.133713045,1.756460017,5806231,,-1.29
BEAT,0.00202545,0.075399625,0.658490647,0.090268329,0.633535369,20175,,-1.41
BEBE,0.155095653,0.044270481,0.291308121,0.063632118,0.477341064,120,,-0.05
BECN,0.303301981,0.030542547,1.419728186,0.14549014,3.372021983,642194,14.72,5.05
BELFA,0.432978367,0.043730104,0.757665525,0.097462689,1.256861595,6710,8.7,5.92
BELFB,0.388867676,0.043529613,1.398163855,0.143925817,2.330041763,156516,8.82,5.92
BFIN,-0.01486763,0.022627808,0.762807166,0.097835674,2.44547215,15768,10.39,0.84
BGFV,0.488115087,0.056873766,1.377192588,0.142404516,1.756601027,610354,35.38,0.16
BGMD,3.181096601,0.183092359,0.33269346,0.0666343,0.131814894,25,,0
BIDU,0.021382758,0.033434419,1.055655934,0.119079555,2.29044075,2788579,18.78,5.84
BIIB,0.062437153,0.031453392,0.825161187,0.102358969,1.903100586,992221,13.61,18.33
BIOC,-0.459111252,0.101963951,0.523983523,0.080510893,0.372787565,671569,,-48.17
BIOL,-0.60695075,0.099144965,1.090937147,0.12163893,0.798214307,7411,,-266.7
BJRI,0.061012658,0.041686654,1.559884656,0.155657392,2.714475261,433391,44.05,0.64
BKCC,0.071033203,0.030533792,0.891865247,0.107197825,2.118892605,293551,23.8,0.15
BKSC,-0.041329615,0.01909665,0.276916092,0.06258809,1.051916959,1717,10.23,1.16
BLCM,-0.235943767,0.091242575,1.076616926,0.12060011,0.855961269,4339,,-0.93
BLDP,0.289601791,0.044790299,1.595285616,0.158225454,2.583716957,2184437,,-0.47
BLDR,0.577539849,0.033301816,1.551111011,0.155020933,3.378822731,2516341,10.62,11.94
BLFS,0.249450173,0.046324247,1.50696703,0.151818633,2.359857773,546806,,-1.94
BLIN,-0.255536566,0.057979276,0.730366041,0.095482325,0.913814891,19220,,-0.18
BLKB,0.080834155,0.025429629,1.038209872,0.11781398,2.961662593,380421,,-0.48
BLMN,0.194513286,0.036113081,1.477211766,0.149660122,2.967349202,2208359,9.3,2.54
BLRX,-0.011007868,0.054362414,0.628506742,0.088093232,0.838690351,584309,,-0.6
BLUE,-0.376047329,0.048020643,1.242187152,0.132610931,1.876504038,5489102,,-0.86
BMRC,-0.087276772,0.023749631,0.937400402,0.110501044,2.863246368,51682,9.29,2.01
BMRN,0.033147867,0.023601081,0.846557479,0.103911102,2.602046199,2390170,103.36,0.77
BOKF,0.046195628,0.025608612,1.175286628,0.127757823,3.32926366,385841,7.54,9.24
BOOM,0.055337324,0.040227863,1.10454618,0.122626158,1.991807497,832596,10.24,1.67
BOSC,0.197552598,0.03715214,0.502637462,0.078962404,0.981434809,24191,7.22,0.36
BOTJ,0.007721502,0.02181334,0.237346962,0.05971766,0.789317899,1375,5.29,1.87
BPOP,0.139763782,0.02453358,1.124949494,0.124106259,3.326308667,475727,7.12,9.77
BPOPM,0.048571855,0.01187428,0.167835863,0.054675175,1.025340042,3419,,
BPTH,0.669913118,0.122993965,0.629950352,0.088197955,0.371546319,108627,,-2.21
BRID,0.064178199,0.037820313,0.70794925,0.093856163,1.357898957,936,2.12,4.96
BRKL,-0.029019321,0.022735575,0.916198148,0.108962986,2.923303494,486946,9.64,0.97
BRKR,0.175405649,0.023094741,1.107972771,0.122874731,3.480217938,983983,27.23,2.16
BRLI,0.050176262,0.003707863,-0.004625501,0.042164456,-0.090495196,4673,,-0.3
BSET,0.132083999,0.035385541,0.992530446,0.114500296,2.034737753,29690,22.33,0.73
BSPM,23.99231579,2.802681821,8.504047365,0.659401908,0.220111289,1000,∞,0
BSQR,0.553313142,0.083937501,0.526345341,0.080682224,0.454888745,51623,,-0.14
BSRR,0.01906975,0.026221304,1.043444538,0.118193714,2.886725716,16481,7.66,2.41
BUR,0.179908078,0.030392672,0.614031176,0.087043144,1.465588288,495653,11.02,1.2
BUSE,0.025229831,0.023202941,1.010763768,0.11582298,3.160072723,135881,8.92,2.34
BV,-0.024510803,0.031189821,1.215270167,0.130658315,2.826509128,225727,,-0.11
BWEN,0.511389383,0.061620816,1.050986037,0.11874079,1.237257066,112250,,-0.12
BWFG,0.038864096,0.021041271,0.745088098,0.096550295,2.568775247,10232,5.69,4.62
BYFC,0.194018977,0.051652812,0.736441668,0.095923064,1.034272146,3133,10.46,0.56
CAAS,0.485178136,0.068369577,0.383051586,0.070287387,0.406429117,7555,3.53,0.96
CAC,0.022397767,0.022265293,0.870283536,0.105632242,2.835455236,49171,9.38,3.44
CACC,0.120378889,0.029776104,1.165923147,0.127078576,2.840484982,69300,18.24,24.3
CACH,3.415985924,0.212415527,0.376168602,0.06978808,0.128465563,8,,-0.06
CAKE,0.057502949,0.034265583,1.325775974,0.138674644,2.806741794,1124375,17.87,1.74
CALA,4.992245733,0.596856471,1.469991115,0.149136321,0.178663257,577,,-7.94
CALM,0.05348433,0.019894032,0.365387322,0.069005983,1.33235851,872134,3.82,12.97
