tick,exchange,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,RSI
AEP,NASDAQ,0.06772877,0.0152175896835758,0.5747035249527921,0.084190231,2.739608051746192,63.76621365466351
AERT,NASDAQ,-0.011872002,0.008974556,0.00490429,0.0428557677436595,0.039641821,55.60991907933562
AEY,NASDAQ,-0.009545439,0.0489944861095991,0.9505464941632452,0.1114546895250271,1.4073969338259351,49.379814996581885
AEYE,NASDAQ,0.3021698903108278,0.057396331,0.9469022783080356,0.111190330259698,1.1967721489483094,55.630327136655445
AEZS,NASDAQ,-0.1390449,0.081923902,0.9969366785453924,0.1148199333933932,0.8827696439224655,39.368819943023794
AFAR,NASDAQ,0.062365278,0.0021617,0.000816176,0.0425592071489243,0.0273891633552879,90.16725124340932
AFBI,NASDAQ,0.1046866220147863,0.0208849986006751,0.1862571668061201,0.056011496,0.6469474195923739,44.80907630086702
AFCG,NASDAQ,-0.21351935,0.0217453389855747,0.5181600523340555,0.080088446,1.7285748449274947,57.214791869689954
AFIB,NASDAQ,-0.580511042,0.071264951,0.7871723095389563,0.099603174,0.8012799242227824,65.28608269676829
AFMD,NASDAQ,-0.222053037,0.046113343,1.2617889829388595,0.1340328898679905,1.984954544040109,64.90643154706123
AFRI,NASDAQ,0.091868945,0.022846933,0.1160004938987216,0.050914926,0.3683175228248945,44.73620169306292
AFRM,NASDAQ,0.049576061,0.069656606,2.361297531806936,0.2137936076054764,2.459115047162403,56.48186878790866
AFYA,NASDAQ,0.073096235,0.0341825288313091,1.0869152125759851,0.1213471700052733,2.3066511665764784,63.84414520576957
AGAE,NASDAQ,-0.100971675,0.057514312,0.7290330593316495,0.095385628,0.919521184,44.43703685508892
AGBA,NASDAQ,-0.357739666,0.053391133,-0.003776307,0.0422260585900532,-0.005130841,55.542334782763504
AGEN,NASDAQ,0.1264526619017466,0.047944722,1.1663414617974892,0.1271089211545713,1.7647181536405376,30.176833127116797
AGFY,NASDAQ,-1.271283667,0.1062116562521414,0.9988159762993548,0.1149562616992102,0.6821874759885347,40.27258784
AGIL,NASDAQ,-0.653688929,0.066611156,0.1569514882534855,0.0538855989259494,0.1709263073479788,28.11080145663648
AGIO,NASDAQ,-0.09351437,0.034335232,1.084117836876517,0.1211442423483663,2.2904823511719705,55.851068117048
AGLE,NASDAQ,0.3020715397378098,0.1127589568841274,1.1792192,0.1280430999831642,0.7586368510935179,57.208894661591344
AGMH,NASDAQ,-0.267211901,0.0514048414633539,0.4192755504423951,0.072915151,0.5916787291052341,62.612730366566936
AGNC,NASDAQ,-0.045431799,0.0196103556188301,0.7611769705872868,0.097717417,2.8157274443865994,58.01075219667349
AGNCL,NASDAQ,-0.083082656,0.012350729841528,0.3547677795639956,0.068235619,2.0837326207596694,58.75234910660095
AGNCM,NASDAQ,0.065889583,0.0205965744798912,0.5461235156474935,0.082116976,1.9234740149062572,55.69089507496609
AGNCN,NASDAQ,0.07833215,0.0188715252897223,0.4095477005352211,0.072209472,1.5743015803579492,58.746529102849976
AGNCO,NASDAQ,0.075883405,0.024624048,0.61515957,0.087125,1.812252832770945,56.426792173863184
