,tick,exchange,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,RSI,gmm_labels
10,ABCL,NASDAQ,-0.647795619,0.0445643409047139,0.8089359227035373,0.1011819537373247,1.316791689184783,41.50866792271852,2
11,ABCM,NASDAQ,0.1411613779439534,0.0266928862315238,0.5642600455395614,0.083432639,1.533466197150334,67.51776772,2
32,ACDC,NASDAQ,-0.234415407,0.039582463,0.9239610260090636,0.1095261224178886,1.6933287489534206,58.16374529942133,2
36,ACGLN,NASDAQ,-0.070581955,0.0111952243652663,0.2697119067268917,0.062065482,1.7476632762166655,65.40623818645167,2
37,ACGLO,NASDAQ,0.060281557,0.0117033122194503,0.3707662025239937,0.069396179,2.2981680919058847,68.05308260831595,2
39,ACHL,NASDAQ,-0.912218263,0.042699669,0.6054209226980214,0.086418537,1.028545153316191,57.46619336041727,2
48,ACNT,NASDAQ,-0.006289565,0.0370852890005791,0.7899876327944984,0.099807404,1.5452867034296007,50.83822400482795,2
52,ACRV,NASDAQ,-0.755228036,0.05489974,0.4032796436765122,0.071754774,0.5328763632938757,56.871876152541375,2
55,ACT,NASDAQ,0.2498589912797366,0.0181710527516779,0.5789300721013284,0.084496834,2.311194328171957,51.41781596612404,2
56,ACTG,NASDAQ,0.1264026809544738,0.028766508,0.6761197016418496,0.091547179,1.7050098248154464,67.96727116498295,2
59,ADAG,NASDAQ,-0.820986973,0.049797573,0.3203799196675254,0.065741049,0.4667104808140267,45.07372473281208,2
64,ADES,NASDAQ,-0.086234895,0.0425632780946422,1.0662060202847543,0.1198448806027829,1.817173959928592,57.25845598378005,2
72,ADSE,NASDAQ,0.034336009,0.039518466,0.2631972571547583,0.061592896,0.4831385832180608,59.96918539096804,2
74,ADTH,NASDAQ,-0.564994153,0.04667787,0.3857449962248165,0.070482773,0.5994869173601309,59.413292128553245,2
77,ADUS,NASDAQ,0.1476857495166461,0.0283067201174021,0.821538603,0.1020961792905206,2.105372118117018,47.82261949733181,2
78,ADV,NASDAQ,-0.260530964,0.031616668,0.538042339,0.08153075,1.2344991605785982,41.54949129293546,2
84,AEI,NASDAQ,-0.773604692,0.080184196,0.8748253794252584,0.1059617168095335,0.791449192,60.712751279200425,2
88,AEP,NASDAQ,0.06772877,0.0152175896835758,0.5747035249527921,0.084190231,2.739608051746192,63.76621365466351,2
94,AFBI,NASDAQ,0.1046866220147863,0.0208849986006751,0.1862571668061201,0.056011496,0.6469474195923739,44.80907630086702,2
95,AFCG,NASDAQ,-0.21351935,0.0217453389855747,0.5181600523340555,0.080088446,1.7285748449274947,57.214791869689954,2
96,AFIB,NASDAQ,-0.580511042,0.071264951,0.7871723095389563,0.099603174,0.8012799242227824,65.28608269676829,2
98,AFRI,NASDAQ,0.091868945,0.022846933,0.1160004938987216,0.050914926,0.3683175228248945,44.73620169306292,2
102,AGBA,NASDAQ,-0.357739666,0.053391133,-0.003776307,0.0422260585900532,-0.005130841,55.542334782763504,2
108,AGMH,NASDAQ,-0.267211901,0.0514048414633539,0.4192755504423951,0.072915151,0.5916787291052341,62.612730366566936,2
110,AGNCL,NASDAQ,-0.083082656,0.012350729841528,0.3547677795639956,0.068235619,2.0837326207596694,58.75234910660095,2
111,AGNCM,NASDAQ,0.065889583,0.0205965744798912,0.5461235156474935,0.082116976,1.9234740149062568,55.69089507496609,2
112,AGNCN,NASDAQ,0.07833215,0.0188715252897223,0.4095477005352211,0.072209472,1.5743015803579492,58.746529102849976,2
113,AGNCO,NASDAQ,0.075883405,0.024624048,0.61515957,0.087125,1.812252832770945,56.426792173863184,2
114,AGNCP,NASDAQ,0.051091087,0.025904453,0.7053873044166666,0.093670314,1.97534816123508,65.88834088678048,2
115,AGRI,NASDAQ,-1.131264204,0.095178141,0.1856124265488664,0.055964725,0.1414686701621042,52.20830585700838,2
117,AGYS,NASDAQ,0.4770483279340207,0.0324096784014195,1.013097285,0.1159922585586854,2.267602215869761,73.03255825426388,2
118,AHCO,NASDAQ,0.099415501,0.034520645,0.6481738690859389,0.089519928,1.3620814020806438,47.040041420138905,2
122,AIH,NASDAQ,-0.29998265,0.055301512,0.535762058,0.081365333,0.7027897056488754,74.67438061120122,2
126,AIP,NASDAQ,-0.196954552,0.051201201,1.2960790555743886,0.1365203655747469,1.8362922012480665,73.79485619218276,2
130,AIRTP,NASDAQ,0.0183866068594793,0.0191223864039974,0.2024208698446422,0.057184046,0.7678981831471078,59.57713946782323,2
131,AIXI,NASDAQ,-1.123235676,0.073782073,0.5829158051729049,0.084785968,0.5731198096190084,58.32913626245353,2
135,AKLI,NASDAQ,-0.909021849,0.060256175,0.3577802952534289,0.068454153,0.4307301812765443,37.48558840751998,2
141,ALAR,NASDAQ,-0.702040531,0.065170209,0.3886049216307244,0.070690238,0.432563255,42.78886908648932,2
150,ALGS,NASDAQ,-0.5210174,0.058492113,0.6951841010620895,0.092930152,0.86217011,47.30097955067346,2
152,ALHC,NASDAQ,-0.164572047,0.041636337,0.8392207815200492,0.1033788826091104,1.462157506346503,69.48140817903425,2
161,ALNY,NASDAQ,0.2379511195316423,0.0310819034451592,0.8307027158267379,0.1027609637815278,1.938779711089829,48.252465789814536,2
163,ALOT,NASDAQ,0.056493407,0.0307870026090191,0.7869718049416586,0.099588629,1.8543094325851344,66.24671367903338,2
168,ALRS,NASDAQ,0.033889916,0.0218909093210375,0.6282628979720725,0.088075543,2.081939256457197,59.16587524603793,2
177,ALVR,NASDAQ,-0.363474429,0.060122949,1.1371499452396334,0.1249913056845531,1.3720435695244408,60.12238829218195,2
