tick,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,Average Volume,PE Ratio,EPS
ALLE,0.077059139,0.019346531,1.023293163,0.11673189,3.836961313,670568,16.12,6.32
ALLE,0.077059139,0.019346531,1.023293163,0.11673189,3.836961313,670568,16.12,6.32
ALLY,0.131804151,0.029799579,1.450672855,0.147734933,3.531423485,5488406,7.3,3.72
ALPN,0.611951118,0.061073162,0.38546837,0.070462706,0.457855866,1365779,,-1.43
ALPP,1.886260607,0.129024141,0.962426346,0.11231648,0.541111757,331975,,-0.86
ALSN,0.086746724,0.020352738,0.7851212,0.099454382,2.798364663,631181,7.44,7.04
ALV,0.112455931,0.024745783,1.205364766,0.129939756,3.533521539,1127391,19.98,4.83
ALX,-0.01355335,0.017509015,0.614203404,0.087055637,2.54472555,20425,10.05,19.36
AM,0.184965348,0.031252304,0.857907454,0.104734454,1.991355717,1770442,17.7,0.73
AMC,0.564877925,0.117963744,1.272650044,0.134820775,0.782619909,22352616,,-5.73
AME,0.178130158,0.017563237,1.055489078,0.119067451,4.359529537,968381,26.03,5.52
AMG,0.104530387,0.025728196,1.331050167,0.139057245,3.752973821,307048,4.92,25.99
AMH,0.149989535,0.01721864,0.806607737,0.101013062,3.398239412,2960054,36.13,0.98
AMP,0.290189012,0.025561901,1.553750603,0.155212414,4.409390971,656405,15.26,22
AMRC,0.285100589,0.036979446,1.405936999,0.144489697,2.758010428,975030,30.11,0.99
AMT,0.089977865,0.018698872,0.838049492,0.103293915,3.251207627,3401051,127.9,1.49
AMTD,-0.111342729,0.094316576,0.059176094,0.046792761,0.045514389,40805,0.79,0.95
AMX,0.084248045,0.019529797,0.736704425,0.095942125,2.736440367,1555748,12.1,1.43
AN,0.340263103,0.027098148,1.022283595,0.116658653,2.736668741,521771,5.98,23.4
ANET,0.342334239,0.027663663,1.206387677,0.13001396,3.163498655,2141554,35.36,6.01
ANF,0.445096837,0.040420691,1.305608281,0.137211636,2.343147369,1480806,30.75,2.13
AOD,0.065167957,0.013957301,0.843909125,0.103718985,4.38616206,324390,18.98,0.4
AON,0.184319439,0.01697056,0.78833245,0.099687333,3.369796555,834541,24.55,13.17
AOS,0.140343732,0.019301942,0.827443848,0.102524558,3.109767814,1148888,35.6,2.01
AP,0.156848184,0.044891536,0.567239892,0.083648803,0.916627203,35105,27,0.1
APA,0.299176564,0.045274269,1.579141222,0.157054305,2.530229822,4891430,8.19,4.88
APAM,0.193432098,0.024276748,1.312991575,0.137747236,3.923393501,542070,11.93,3.04
APD,0.177318688,0.017929168,0.921533299,0.10935001,3.728561721,953150,29.95,9.79
APH,0.169340184,0.017539241,1.070503801,0.120156651,4.427594702,2668372,27.35,3.1
APLE,0.125071666,0.027842356,1.183842889,0.128378512,3.084455611,2222240,24.09,0.7
APO,0.332919076,0.02717792,1.383210624,0.142841077,3.692007165,3559181,137.15,0.62
AR,0.409374107,0.04882368,1.148605181,0.125822293,1.706595904,3100780,11.09,2.75
ARC,0.282521034,0.042376204,0.681946496,0.091969867,1.167397315,134536,10.32,0.28
ARCO,0.156622275,0.027738699,0.993777452,0.114590756,2.598923516,551572,12.59,0.79
ARDC,0.04036039,0.01343617,0.520949942,0.080290831,2.812619221,84387,9.56,1.31
ARE,0.014208874,0.018228222,0.920000745,0.109238835,3.661291641,1597857,74.14,1.38
ARES,0.416874363,0.023959498,1.281179117,0.135439492,3.879025047,1086528,64.5,1.66
ARI,0.120207685,0.037242889,1.18456762,0.128431086,2.307315257,848218,,-0.06
ARL,0.215720368,0.046289979,0.667488256,0.090921035,1.04603711,1470,0.61,21.59
ARMK,0.133933462,0.029182639,1.17541664,0.127767254,2.921848592,3553445,13.63,2.08
ARR,-0.277488693,0.027588755,1.054830302,0.119019661,2.773581539,1588895,,-1.75
ARW,0.149925992,0.020436488,1.096819829,0.122065672,3.893314276,888818,6.14,19.7
ASA,0.143426141,0.022449141,0.410571792,0.072283762,1.326721679,118360,,-2.89
ASB,0.03763385,0.024785323,1.103185211,0.122527431,3.228823359,1661895,7.23,2.44
ASC,0.325092094,0.038677508,0.934117307,0.110262881,1.751997087,490606,3.02,4.52
ASG,0.095141988,0.018191503,0.948835888,0.111330598,3.783667415,233150,6.51,0.75
ASGN,0.130453022,0.025298369,1.301877165,0.136940973,3.733085378,324159,18.79,4.55
ASH,0.054737666,0.019336327,0.981397136,0.113692662,3.681808892,491577,17.96,4.32
ASPN,0.463060174,0.049152036,1.456915982,0.148187823,2.150222667,1029287,,-0.72
ASR,0.123267997,0.023423045,0.822550085,0.102169554,2.547472116,65859,12.06,18.86
ASX,0.239861274,0.025633775,1.131703091,0.124596179,3.202656599,5218654,15.15,0.53
ATEN,0.23813802,0.030974959,0.962086167,0.112291802,2.253168506,759676,18.22,0.6
ATHM,-0.059455798,0.033991797,0.844388147,0.103753734,1.802015193,412833,12.45,2.16
ATI,0.233308578,0.035332067,1.40277191,0.144260095,2.880105877,1823652,20.54,2.03
ATO,0.084532645,0.016112432,0.647247216,0.089452707,2.914067113,761956,19.19,5.81
ATR,0.07582709,0.015201589,0.709624813,0.093977712,3.386337625,278042,29.77,4.21
AU,0.246740541,0.032714426,0.323948695,0.065999936,0.718335576,3604308,190.6,0.1
AVA,-0.009792169,0.019139392,0.67843596,0.091715205,2.571409077,666774,15.93,2.2
AVAL,-0.115701475,0.024190891,0.823172109,0.102214677,2.468477798,27731,10.35,0.23
AVB,0.054987872,0.018589163,0.862730644,0.105084339,3.366710932,584181,26.04,6.58
AVD,-0.020229217,0.026783133,1.012911831,0.115978805,2.743473167,402398,24.6,0.4
AVK,0.047735663,0.018118567,0.88452065,0.106665033,3.541396643,142531,,-1.13
AVT,0.084656088,0.022057122,1.1164514,0.123489789,3.671820257,885616,5.43,8.58
AVY,0.192966965,0.020036946,1.021605227,0.116609443,3.698639713,690028,30.51,5.94
AWF,0.035577967,0.012317921,0.532591339,0.081135323,3.136513206,243328,,-0.58
AWH,0.437741055,0.065588295,0.979730765,0.113571779,1.083604625,29122,,-2.11
AWI,0.098122049,0.021413802,1.049121017,0.118605498,3.554039508,483855,16.14,5
AWK,0.117261204,0.017089363,0.727732033,0.095291249,3.089129102,2504477,26.87,4.84
AWP,0.019724991,0.017939636,0.890796415,0.10712029,3.60209588,293673,,-1.29
AWR,0.108947408,0.018962372,0.690918059,0.092620684,2.643165328,205300,26.24,3.16
AXL,0.130246957,0.044802859,1.845147342,0.176350961,2.987554025,2568950,20.69,0.35
AXP,0.152871175,0.023971977,1.301123698,0.136886315,3.93736044,2254641,14.32,10.67
AXR,0.311087682,0.032880181,0.327068726,0.06622627,0.721597909,4445,4.07,4
AXS,0.062282178,0.019366559,0.800236079,0.100550848,2.997478644,889088,13.77,3.96
AXTA,0.092279239,0.022754485,1.124089343,0.124043862,3.583639019,3245122,27.56,1.07
AYI,0.133371915,0.025342021,1.145920633,0.12562755,3.280225769,286553,15.84,10.77
AZN,0.156577626,0.016793306,0.543663492,0.08193852,2.348466685,4329139,32.3,1.98
AZO,0.28225187,0.017993799,0.722235743,0.094892536,2.91169953,132796,19.45,132.39
AZZ,0.092429658,0.024308624,1.0105434,0.115806994,3.015678523,107303,17.68,2.71
B,-0.084026361,0.028342302,1.336697432,0.13946691,3.421278531,932439,47.83,0.47
BA,0.008213281,0.031954267,1.460422977,0.148442228,3.315432833,4455455,,-4.7
BABA,0.004758845,0.030640282,0.913573309,0.108772575,2.162923147,14832696,19.39,4.4
BAC,0.076844596,0.022632493,1.211323722,0.130372031,3.882560825,62464409,7.96,3.57
BAH,0.236203904,0.017067188,0.649154778,0.089591085,2.759159067,729784,55.16,2.23
BAK,-0.034961999,0.040047871,1.389274821,0.143280987,2.516512991,625894,,-1.72
BAM,0.013177283,0.019089409,0.498859822,0.078688366,1.89573005,1898749,633.2,0.05
BANC,0.062787723,0.029848775,1.170673564,0.127423181,2.845114488,2371747,7.27,1.75
BAP,-0.020609189,0.022747518,0.824202013,0.102289389,2.628391755,894573,7.39,16.44
BAX,-0.070333753,0.018116399,0.684531751,0.092157407,2.741019809,6502391,73.83,0.46
BBD,-0.064844086,0.029969103,1.062381257,0.119567424,2.571562559,23599839,11.22,0.27
BBDO,-0.09500915,0.031406393,0.87836604,0.106218564,2.02884058,21564,9.93,0.27
BBN,0.006018975,0.011445509,0.258390116,0.061244175,1.637688243,249844,,-0.06
BBVA,0.175613241,0.02575124,1.14144841,0.125303126,3.215500534,1006452,6.4,1.29
BBW,0.531190589,0.049528457,1.091455042,0.121676499,1.598606196,147436,7.5,3.45
BBY,0.082768369,0.025047616,1.157290327,0.126452332,3.351709449,2009948,11.58,5.8
BC,0.17104604,0.027849976,1.338794687,0.139619049,3.487221991,723356,10.62,7.04
BCC,0.375172658,0.029539956,1.302967466,0.137020066,3.199736202,309336,8.27,12.63
BCE,0.058096684,0.013385865,0.650349281,0.089677737,3.524444315,1816499,21.91,1.82
BCH,0.017082902,0.021608942,0.636615221,0.088681439,2.137144884,132139,7.82,2.75
BCO,0.092851912,0.026798425,1.129492962,0.124435852,3.057487564,263225,29.67,2.39
BCS,0.049547767,0.026645621,1.157662247,0.126479312,3.151711538,14052305,4.13,1.64
BCS,0.049547767,0.026645621,1.157662247,0.126479312,3.151711538,14052305,4.13,1.64
BCSA,0.059531118,0.005397379,0.029601055,0.044647324,0.397845735,202066,217.4,0.05
BCX,0.106471401,0.018014416,0.845603486,0.103841898,3.405156073,224906,7.05,1.26
BDC,0.13532257,0.02867393,1.232863209,0.131934552,3.119019714,746439,9.59,6.78
BDJ,0.050464079,0.014260938,0.817087538,0.101773289,4.156338767,341466,8.88,0.85
BDN,-0.134818838,0.02545748,1.128218727,0.124343416,3.214906458,2138210,,-0.06
BDX,0.060079734,0.015709297,0.569647752,0.083823475,2.6305107,973991,46.82,5.53
BEN,0.042654229,0.023586539,1.176822325,0.127869226,3.619404496,2537715,14.1,1.72
BEP,0.181843888,0.020684689,0.8089946,0.10118621,2.837181174,649932,,-0.61
BERY,0.103952676,0.020864827,0.896250402,0.107515934,3.116054336,633957,11.07,5.31
BFAM,0.015528066,0.025910729,0.977591118,0.113416565,2.736957555,782725,57.72,1.49
BFK,-0.018841218,0.01035799,0.290810641,0.06359603,2.036691447,195780,,-0.09
BFS,0.053032191,0.025454645,1.14564932,0.125607869,3.26493925,37800,22.46,1.64
BFZ,0.000716234,0.007854763,0.223158001,0.058688362,2.0609612,55238,130,0.08
BG,0.186741985,0.021098534,0.795163888,0.100182901,2.733976735,855510,8.21,12.92
BGB,0.016537648,0.013248958,0.481862676,0.077455356,2.638347485,262012,12.64,0.87
BGC,0.087001785,0.030724083,1.226635539,0.131482783,2.896190017,2406511,152.75,0.04
BGH,0.010922422,0.012553293,0.564157569,0.083425205,3.260117132,120184,8.87,1.43
BGR,0.100745983,0.0209889,0.856767943,0.104651791,2.961174342,148672,6.93,1.85
BGS,-0.075246823,0.029445159,0.449194948,0.075085569,1.106652838,1402069,,-0.32
BGT,0.051111172,0.011835325,0.436698731,0.074179066,2.676653644,146078,7.25,1.67
BGX,-0.03155799,0.014466155,0.475645141,0.077004323,2.385175736,78318,12.01,0.96
BGY,0.049950067,0.012020122,0.67186003,0.091238173,4.054715339,364435,5.2,0.96
BH,0.132371741,0.031832495,0.954607132,0.111749257,2.175426641,3012,2.16,73.16
BHE,0.094476587,0.024361054,0.966874979,0.112639193,2.879152622,224233,12.96,1.89
BHK,0.002011016,0.009848261,0.199162341,0.056947665,1.467027103,257721,,-0.03
BHLB,0.030355526,0.029387846,1.160735356,0.126702242,2.865206295,233760,9.19,2.31
BHP,0.187551801,0.022238323,1.035935793,0.117649013,3.37925716,2218605,11.61,5.09
BIG,-0.146044557,0.047132537,1.381036312,0.142683348,2.125566647,1280651,,-19.66
BIO,0.065516959,0.022148988,0.85764416,0.104715354,2.808947895,238725,,-6.02
BIP,0.128356852,0.020218249,0.929748572,0.109945963,3.335895415,943285,87.23,0.31
BIT,0.057832957,0.013155303,0.494067719,0.078340736,2.724432515,125920,,0
BK,0.053530783,0.020263626,1.004200301,0.115346852,3.594956417,4432815,10.6,4.27
BKD,0.099830016,0.045892845,1.423610343,0.14577176,2.250280173,2090266,,-0.48
BKE,0.284883319,0.030786935,1.057676502,0.119226131,2.492165282,311213,7.54,4.78
BKH,0.025493887,0.018922659,0.829881154,0.102701366,3.18144328,634849,13.38,3.85
BKN,0.000225459,0.012556004,0.290136835,0.063547151,1.676261911,104622,,-0.07
BKT,-0.063951519,0.006993108,0.125582615,0.051610033,1.30271597,55638,,-0.75
BKU,0.070703171,0.030467846,1.270722314,0.134680933,3.025515278,1004558,8.44,2.94
BLK,0.158032167,0.020180967,1.222813357,0.131205514,4.3955037,788987,18.39,35.77
BLW,0.047921617,0.011929458,0.501349083,0.078868942,3.048666837,106605,9.94,1.33
BLX,0.176239674,0.023465778,0.816015552,0.101695525,2.522632144,94448,5.69,4.14
BMA,0.069139333,0.040911302,1.154474271,0.12624805,2.047063891,286243,25.56,0.8
BME,0.05670795,0.014683704,0.671542357,0.091215129,3.317632166,39713,10.99,3.44
BMI,0.278497826,0.022275217,1.06017386,0.119407295,3.452594647,149944,49.45,2.89
BMO,0.087729664,0.01810847,0.969061542,0.112797811,3.882040438,655509,10.96,7.31
BMR,-0.379644826,0.120968235,0.271893516,0.062223741,0.163048928,19428,,-0.1
BMY,0.044240245,0.014540588,0.520425593,0.080252793,2.596373173,14478630,13.41,3.94
BNJ,-0.162774911,0.01269132,0.24597608,0.060343635,1.405971544,6880,,
BNS,0.030197393,0.016816992,0.875289983,0.10599542,3.775670401,1705691,9.41,4.6
BNY,-0.017137763,0.010008345,0.259104033,0.061295965,1.878029208,48289,,-0.03
BOE,0.049248276,0.012148468,0.735457131,0.095851644,4.391635535,262011,8.11,1.18
BOH,0.019308338,0.024660554,1.01616299,0.116214651,2.989172608,801655,11.34,4.92
BOOT,0.38960584,0.038675362,1.530348912,0.153514805,2.870427033,2309406,13.79,5.46
BP,0.084677373,0.023739322,0.925074606,0.109606904,2.826824807,10915143,4.35,8.33
BPT,0.013326917,0.053390611,0.825353244,0.102372902,1.121412549,209871,1.8,2.41
BR,0.132816809,0.016882127,0.860405685,0.104915681,3.697145536,565891,31.46,5.63
BRC,0.105566659,0.019239663,0.926372987,0.109701091,3.492841334,441589,15.19,3.51
BRFS,-0.040979033,0.035783124,1.051656768,0.118789447,2.131995113,31525285,,-0.63
BRO,0.224952369,0.01688778,0.894861001,0.107415144,3.843912107,2353085,26.82,2.63
BRP,0.228770494,0.034786182,1.357107212,0.140947479,2.830074301,310274,,-1.94
